# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, slope, slope_unc, intercept, intercept_unc, U, U_unc, Diameter, Diameter_unc
2, 25, 15.4737, 0.000243022, 0.354379, 0.0156358, 39.5935, 2.75516, -5.21182, 0.0524004, 715.554, 0.00336606, 6.591, 0.268127, 260.961, 21.0347
0, 26, 12.7358, 2.542e-05, 3.64137, 0.116438, 5.7226, 0.270367, 0.387681, 0.715432, 733.692, 0.0131395, 10.928, 1.64832, 62.5366, 9.88456
1, 26, 11.1918, 1.9871e-05, 2.79772, 0.0509591, 7.85347, 0.211999, -8.93221, 0.251602, 744.658, 0.0059794, 6.4925, 0.374788, 50.9887, 3.24931
2, 26, 13.7814, 1.73456e-05, 4.36852, 0.153557, 3.50417, 0.181884, -3.91005, 1.72109, 729.021, 0.0181645, 7.244, 0.416, 25.3842, 1.96494
0, 27, 11.6149, 3.48939e-05, 0.827084, 0.0290983, 7.14055, 0.367793, -4.97145, 0.101373, 731.295, 0.0028786, 5.8865, 0.209672, 42.0328, 2.63226
1, 27, 14.4006, 1.41559e-05, 0.658989, 0.0240025, 1.67825, 0.0924098, -14.6551, 0.642747, 716.763, 0.00337294, 3.907, 0.327935, 6.55692, 0.658214
2, 27, 12.4852, 6.34388e-05, 0.91806, 0.0423509, 9.9005, 0.67077, -4.66538, 0.121, 726.339, 0.00440242, 3.6435, 0.179617, 36.0725, 3.02246
0, 28, 15.5075, 0.00012041, 0.570742, 0.177096, 1.42635, 0.686481, -15.1065, 1.54181, 719.157, 0.0155706, 6.2005, 1.58984, 8.84408, 4.82289
1, 28, 15.6652, 0.000235107, 0.454839, 0.018192, 42.2175, 2.72, -3.49932, 0.0738125, 718.617, 0.00419338, 7.0845, 0.187078, 299.09, 20.8256
2, 28, 8.42766, 1.68715e-05, 0.686373, 0.122748, 1.48301, 0.34215, -4.55505, 0.0799122, 759.15, 0.00253748, 12.772, 1.19198, 18.941, 4.71394
0, 29, 14.5276, 7.15012e-05, 0.535286, 0.069399, 3.96641, 0.736602, -5.6877, 0.102767, 715.726, 0.00408069, 5.6305, 0.3855, 22.3329, 4.42032
1, 29, 12.0562, 2.22133e-05, 1.36342, 0.0704839, 3.16535, 0.240677, 2.1369, 0.526965, 729.411, 0.00678438, 3.549, 0.3855, 11.2338, 1.48949
2, 29, 13.4367, 4.22988e-05, 1.01555, 0.0379143, 8.15669, 0.448074, -3.72695, 0.141176, 722.1, 0.00404443, 5.756, 0.568331, 46.9499, 5.30486
3, 29, 15.5358, 9.34326e-05, 0.686643, 0.0146362, 31.5322, 1.03599, -6.27467, 0.0437419, 710.38, 0.00255911, 10.276, 0.293704, 324.025, 14.1104
4, 29, 10.2372, 4.38213e-05, 0.913956, 0.0399842, 7.21004, 0.471539, -4.46019, 0.275788, 740.369, 0.00518582, 7.23, 0.342027, 52.1286, 4.20763
5, 29, 13.7288, 9.33227e-06, 2.52684, 0.0870366, 1.71253, 0.087527, -5.72381, 1.79901, 720.595, 0.00950859, 4.5855, 0.773164, 7.85281, 1.38356
6, 29, 11.7469, 0.000225244, 1.39816, 0.246512, 9.10785, 2.94337, -3.82866, 12.6932, 731.697, 0.0999114, 6.222, 0.257, 56.669, 18.4626
7, 29, 12.6395, 1.46129e-05, 2.86074, 0.0740814, 4.06999, 0.155792, -4.174, 0.63525, 726.041, 0.00833133, 7.278, 0.829145, 29.6214, 3.56001
8, 29, 13.9268, 1.60958e-05, 3.91225, 0.0435217, 10.4153, 0.172419, -5.74119, 0.18315, 719.466, 0.00536152, 4.125, 0.232465, 42.9631, 2.5235
0, 33, 15.1051, 0.000274885, 0.521138, 0.0327808, 31.4278, 3.07648, -6.0122, 0.114582, 718.694, 0.00620572, 9.055, 0.42172, 284.579, 30.8497
2, 33, 11.6415, 1.55076e-05, 3.4127, 0.0716238, 5.31936, 0.167217, -2.77655, 0.702874, 740.788, 0.00946812, 9.424, 1.033, 50.1296, 0
0, 34, 10.2544, 3.24869e-05, 0.788442, 0.073097, 2.4536, 0.33215, -1.0986, 0.683249, 740.497, 0.00701364, 3.866, 0.875, 9.48562, 0
4, 34, 12.4783, 8.67679e-06, 4.13373, 0.163823, 1.53991, 0.0878372, 2.83568, 2.72708, 725.801, 0.0143631, 6.814, 0.875, 10.4929, 0
0, 35, 12.8966, 5.81845e-05, 0.76998, 0.0613765, 5.25559, 0.616762, -7.9156, 0.361354, 725.195, 0.00660528, 7.033, 0.741, 36.9626, 0
2, 35, 14.6018, 2.69644e-05, 1.14884, 0.0730185, 3.14282, 0.301138, 4.28684, 1.1672, 715.754, 0.00943297, 5.266, 0.741, 16.5501, 0
0, 36, 9.60318, 4.50779e-05, 1.41317, 0.0309828, 14.8012, 0.480872, -11.5813, 0.080893, 746.423, 0.00366604, 2.422, 0.687723, 35.8485, 10.2455
1, 37, 10.1039, 3.16546e-05, 1.75852, 0.0366196, 10.942, 0.339965, -10.5345, 0.157951, 745.722, 0.00465815, 0.9775, 0.767922, 10.6958, 8.40917
2, 37, 15.7081, 0.000279436, 0.788316, 0.095938, 17.2687, 4.51762, 8.23286, 6.6878, 707.865, 0.0784241, 8.397, 1.24203, 145.005, 43.5781
0, 38, 12.3875, 0.000174936, 0.747234, 0.0516275, 18.2266, 1.87027, -8.36448, 0.117223, 728.306, 0.00638354, 3.019, 0.561184, 55.0261, 11.6835
1, 38, 11.568, 2.09968e-05, 1.32463, 0.0487775, 4.09035, 0.222305, -18.1491, 0.420476, 735.982, 0.00552839, 6.676, 0.972, 27.3072, 0
2, 38, 11.866, 1.82277e-05, 1.15338, 0.0794567, 1.8249, 0.184074, -7.98072, 0.910273, 732.786, 0.00701618, 4.432, 0.972, 8.08796, 0
3, 38, 13.3145, 0.00010658, 1.86328, 0.0331002, 43.1102, 1.22014, -7.24617, 0.115808, 721.049, 0.00706571, 10.723, 0.679032, 462.271, 32.064
4, 38, 11.7585, 1.19185e-05, 2.99367, 0.0536198, 4.79195, 0.127821, -15.5692, 0.499327, 734.134, 0.0066529, 5.92, 0.972, 28.3683, 0
0, 39, 13.0523, 5.34003e-05, 2.06457, 0.0504505, 15.7235, 0.587377, -5.04493, 0.261017, 718.263, 0.00805666, 7.7205, 1.84918, 121.393, 29.427
1, 39, 9.86887, 3.01638e-05, 1.24183, 0.0341937, 7.88727, 0.313616, -8.23734, 0.0510642, 741.999, 0.00257327, 3.966, 0.809, 31.2809, 0
2, 39, 12.7259, 3.23588e-05, 4.88062, 0.0670469, 16.9568, 0.345604, -4.94602, 0.158582, 719.877, 0.00797238, 4.308, 0.809, 73.0499, 0
3, 39, 15.4534, 1.59792e-05, 2.48375, 0.104109, 2.63565, 0.162884, -5.76307, 1.57241, 703.643, 0.0124494, 6.472, 0.809, 17.0579, 0
0, 41, 13.2586, 4.97876e-05, 0.561851, 0.0335625, 6.00062, 0.520572, -4.20712, 0.0940685, 717.785, 0.00287056, 6.5425, 0.732278, 39.2591, 5.5595
1, 41, 14.6149, 6.53783e-05, 1.00339, 0.0212621, 22.2069, 0.706598, -4.99372, 0.0532959, 709.544, 0.00290453, 6.0975, 0.521505, 135.407, 12.3565
2, 41, 11.2144, 3.79153e-05, 1.20413, 0.0613879, 5.3539, 0.404964, -6.67065, 0.459765, 732.935, 0.00730215, 5.617, 0.628, 30.0729, 0
1, 42, 15.9597, 8.58659e-05, 0.698591, 0.00882169, 48.8234, 0.998798, -5.62792, 0.0328838, 703.83, 0.00211702, 6.0505, 0.308731, 295.406, 16.2396
0, 44, 13.2894, 4.13069e-05, 3.1434, 0.0874172, 10.6932, 0.438095, -10.9835, 0.259568, 708.15, 0.00949043, 11.707, 2.09252, 125.185, 22.956
0, 45, 14.4279, 5.41145e-05, 0.735731, 0.0194476, 14.7359, 0.583017, -10.4873, 0.0677997, 686.552, 0.00261643, 7.789, 0.288675, 114.778, 6.22232
0, 46, 13.2505, 4.42339e-05, 1.75285, 0.0602565, 9.26326, 0.471138, -14.4141, 0.239115, 695.281, 0.00694874, 7.1815, 0.434544, 66.5241, 5.25842
0, 47, 9.92353, 4.95825e-05, 0.637466, 0.0318933, 7.13517, 0.517762, -10.16, 0.0697463, 728.93, 0.00269393, 8.1885, 0.779454, 58.4263, 6.99326
1, 47, 15.0618, 4.16423e-05, 0.65177, 0.0117314, 16.6552, 0.443308, -7.89299, 0.0254615, 680.058, 0.001378, 6.565, 0.497325, 109.341, 8.77945
0, 49, 12.659, 6.03519e-05, 1.21091, 0.0486031, 10.8235, 0.647788, -5.22954, 0.2085, 709.138, 0.00613411, 7.223, 0.487909, 78.1781, 7.05553
1, 49, 11.2593, 1.79942e-05, 2.88602, 0.114174, 3.34363, 0.19986, -5.91317, 1.89071, 718.361, 0.015386, 5.148, 0.584, 17.213, 0
0, 50, 14.4092, 6.44274e-05, 1.10168, 0.0147466, 34.6161, 0.720459, -7.02251, 0.0461867, 703.589, 0.00271295, 4.326, 0.316049, 149.749, 11.3757
0, 51, 10.7721, 2.97497e-05, 1.38596, 0.04189, 7.08663, 0.311169, -8.82479, 0.10125, 730.958, 0.00360689, 6.7435, 1.93265, 47.7887, 13.8558
0, 52, 11.3116, 0.000121739, 0.761407, 0.0252934, 26.3717, 1.33086, -9.18121, 0.0691083, 730.042, 0.00398721, 3.869, 0.380585, 102.032, 11.2804
1, 52, 13.5521, 4.10072e-05, 1.06906, 0.0324708, 9.71971, 0.434543, -6.22672, 0.102733, 710.207, 0.00348789, 4.136, 0.431924, 40.2007, 4.56671
2, 52, 13.2554, 3.1326e-05, 1.47505, 0.0180562, 18.4218, 0.33509, -7.37608, 0.041217, 712.729, 0.00219918, 7.62, 0.297632, 140.374, 6.04833
5, 52, 14.9932, 2.84307e-05, 2.7789, 0.0832014, 6.83452, 0.307758, -5.16698, 0.704144, 699.672, 0.0114758, 3.401, 0.483, 23.2442, 0
0, 53, 10.3149, 2.43413e-05, 0.675608, 0.0283837, 4.18101, 0.254788, -8.80705, 0.102117, 738.775, 0.00233197, 3.174, 0.512, 13.2705, 0
0, 54, 13.0847, 7.67107e-05, 1.20922, 0.0316771, 21.0778, 0.826522, -9.93627, 0.0773535, 708.892, 0.00423265, 6.1475, 1.3273, 129.576, 28.4342
1, 55, 10.9403, 2.36908e-05, 0.975351, 0.0260023, 6.39737, 0.25175, -8.84621, 0.138256, 731.694, 0.00290403, 3.453, 0.546, 22.0901, 0
2, 55, 10.0452, 3.24651e-05, 1.81325, 0.0354469, 11.9553, 0.34602, -7.82698, 0.111303, 739.616, 0.00411363, 2.907, 1.77277, 34.7541, 21.2179
3, 55, 13.3671, 2.90321e-05, 2.06909, 0.0629283, 6.87187, 0.309509, -6.16499, 0.346793, 706.242, 0.00731432, 5.264, 0.546, 36.1735, 0
0, 56, 12.1496, 0.000132597, 0.395025, 0.0142526, 26.438, 1.4685, -9.59459, 0.0497678, 714.868, 0.00271926, 4.721, 0.639743, 124.814, 18.2792
3, 56, 12.8032, 3.83998e-05, 0.688735, 0.0278953, 6.82518, 0.409244, -8.86842, 0.153203, 708.209, 0.00324586, 6.093, 0.561, 41.5858, 0
0, 57, 12.4299, 3.13956e-05, 2.8175, 0.0510575, 12.4717, 0.335282, -8.7175, 0.163739, 713.568, 0.00606828, 4.339, 1.19752, 54.1147, 15.0058
0, 60, 13.5203, 7.33445e-05, 1.63823, 0.0528191, 16.3746, 0.788944, -6.558, 0.158876, 704.163, 0.00683614, 8.649, 0.498181, 141.624, 10.6351
0, 61, 14.5627, 6.05972e-05, 0.509127, 0.0154515, 14.3723, 0.651935, -6.90534, 0.0531985, 695.188, 0.0020418, 3.535, 0.401637, 50.8061, 6.21548
1, 61, 10.5457, 5.67096e-05, 0.922568, 0.084796, 4.44567, 0.601401, -0.55894, 0.57839, 728.476, 0.00903101, 2.957, 0.568, 13.1458, 0
2, 61, 10.5863, 0.000252056, 0.825356, 0.0503278, 29.7398, 2.78129, -6.39434, 0.146078, 728.155, 0.00839749, 0.513, 0.231885, 15.2565, 7.04227
3, 61, 15.2055, 3.1529e-05, 0.914052, 0.0119464, 17.3645, 0.339109, -4.11035, 0.0337871, 691.319, 0.00154587, 3.906, 0.327935, 67.8257, 5.84645
4, 61, 14.8649, 8.1538e-06, 1.19803, 0.0205025, 3.4836, 0.08787, -3.82477, 0.1615, 693.21, 0.00209289, 6.142, 0.568, 21.3963, 0
0, 63, 15.7381, 0.000107875, 0.620441, 0.0402031, 11.9799, 1.18009, -4.58828, 0.245258, 687.56, 0.00614197, 7.046, 0.315811, 84.4104, 9.13519
0, 64, 12.7652, 0.000164574, 0.433682, 0.0281259, 18.2673, 1.75968, -6.97009, 0.0639329, 707.129, 0.00357846, 2.4945, 1.07195, 45.5678, 20.0675
0, 65, 14.6785, 5.3993e-06, 0.872185, 0.0862338, 1.13637, 0.122909, -5.13277, 0.447907, 694.702, 0.00235888, 4.911, 0.582, 5.58071, 0
1, 65, 15.4137, 2.85824e-05, 1.45626, 0.0229834, 13.0352, 0.308509, -3.44692, 0.0949702, 690.865, 0.0030795, 4.051, 0.336018, 52.8056, 4.55487
2, 65, 11.9944, 2.33381e-05, 3.63181, 0.0297793, 20.4876, 0.251053, -8.77087, 0.0716928, 715.14, 0.0038521, 1.4155, 0.291, 29.0002, 5.97247
3, 65, 13.5345, 1.25573e-05, 8.88687, 0.239638, 3.27531, 0.131653, -6.02274, 4.01762, 702.249, 0.0325301, 1.518, 0.582, 4.97192, 0
0, 66, 15.7821, 9.85396e-05, 0.329099, 0.0160063, 14.586, 1.04315, -4.15175, 0.0325087, 687.529, 0.00173862, 5.349, 0.327358, 78.0205, 7.34393
1, 66, 14.2225, 0.000270978, 0.166872, 0.0205473, 15.8431, 2.87842, -6.98973, 0.0434952, 696.161, 0.00296201, 3.559, 0.2835, 56.3856, 11.1857
0, 68, 15.6232, 2.82986e-05, 0.749233, 0.0218525, 6.98513, 0.299075, -5.14692, 0.086871, 691.763, 0.00225518, 5.665, 0.765301, 39.5708, 5.60779
0, 69, 11.0093, 7.34082e-05, 1.33852, 0.039329, 17.9808, 0.797237, -8.19058, 0.136589, 720.038, 0.00563373, 3.422, 0.842118, 61.5303, 15.3858
1, 69, 15.1965, 3.96804e-05, 0.919564, 0.0323045, 8.13105, 0.424047, -4.37248, 0.162292, 690.234, 0.00387163, 3.6545, 0.420021, 29.7149, 3.75036
0, 71, 11.3256, 3.78236e-05, 1.82094, 0.0517425, 9.58231, 0.403498, -9.93057, 0.208842, 721.486, 0.00607435, 3.5995, 1.25331, 34.4915, 12.0971
1, 71, 14.6478, 5.31058e-05, 0.813346, 0.00940917, 33.0192, 0.591257, -6.94181, 0.0287791, 695.227, 0.00169338, 1.5625, 0.189835, 51.5925, 6.33593
0, 72, 13.9329, 9.57751e-05, 0.730613, 0.0198762, 25.3356, 1.04408, -8.48822, 0.0532292, 699.93, 0.00304247, 1.863, 0.237023, 47.2002, 6.31229
1, 72, 12.7438, 1.1605e-05, 3.83326, 0.028077, 11.4052, 0.124335, -5.26937, 0.108509, 708.969, 0.00346599, 3.885, 0.305996, 44.3092, 3.52321
0, 73, 11.7611, 6.02605e-05, 0.948631, 0.0283104, 14.5369, 0.637839, -7.02013, 0.0574017, 714.979, 0.00301282, 3.409, 0.317543, 49.5563, 5.10257
0, 74, 15.2343, 9.12733e-06, 1.08888, 0.0535865, 1.91401, 0.138416, -4.43135, 0.527254, 694.258, 0.00411724, 6.018, 0.594, 11.5185, 0
1, 76, 14.1415, 2.76828e-05, 2.57403, 0.0359229, 14.28, 0.29407, -8.94254, 0.0845521, 697.143, 0.00399042, 4.679, 0.81575, 66.8161, 11.7299
0, 78, 9.41062, 5.87854e-05, 0.576801, 0.0304872, 8.00749, 0.613711, -8.19647, 0.0585399, 726.712, 0.00256196, 5.058, 0.453939, 40.5019, 4.77999
1, 78, 14.7853, 1.62658e-05, 1.45957, 0.0379461, 4.49896, 0.17212, -2.04741, 0.260666, 697.727, 0.00407544, 3.605, 0.524, 16.2188, 0
0, 79, 14.7697, 5.41214e-05, 0.695479, 0.0145511, 18.6209, 0.57924, -5.30632, 0.0333951, 696.337, 0.001797, 3.931, 0.496, 73.1988, 0
2, 79, 12.3661, 6.75457e-06, 1.24577, 0.0242857, 1.57559, 0.0465703, -4.82762, 0.576238, 709.508, 0.00301653, 5.938, 0.496, 9.35585, 0
0, 81, 13.9636, 3.16332e-05, 1.03477, 0.0371925, 6.33606, 0.33441, -4.79609, 0.164926, 703.486, 0.00385033, 4.706, 0.59, 29.8175, 0
2, 81, 14.6941, 2.59287e-05, 1.4964, 0.0385412, 7.24732, 0.275619, -0.927393, 0.182794, 699.175, 0.00431137, 3.779, 0.59, 27.3876, 0
0, 82, 13.8285, 0.000132415, 1.25838, 0.0373339, 32.1055, 1.47073, -5.10029, 0.112619, 704.514, 0.00647594, 4.006, 0.216004, 128.615, 9.09977
0, 83, 12.352, 4.80243e-05, 1.22669, 0.0350231, 12.1078, 0.516174, -3.59327, 0.139466, 707.564, 0.00448561, 3.714, 0.314663, 44.9684, 4.26501
0, 86, 15.5858, 0.000410989, 0.172281, 0.00762886, 66.0668, 5.51208, -2.58051, 0.0636381, 695.766, 0.0035851, 3.5055, 0.266077, 231.597, 26.1224
1, 86, 14.6324, 6.02771e-05, 0.587009, 0.0140749, 18.0969, 0.644205, -5.13392, 0.0318438, 699.718, 0.00171485, 4.9355, 0.305787, 89.3172, 6.38215
0, 88, 14.9477, 0.000178929, 0.534714, 0.0253919, 27.1137, 1.96, -5.51191, 0.0703459, 701.738, 0.00403439, 3.7665, 0.2875, 102.124, 10.7361
1, 88, 13.6996, 1.83969e-05, 0.632929, 0.0975891, 1.63288, 0.349522, -1.82507, 0.703405, 707.605, 0.00545539, 3.783, 0.575, 6.17719, 0
2, 88, 13.0245, 0.000460349, 0.315038, 0.0153187, 67.761, 5.63959, -6.37013, 0.0674673, 711.807, 0.00553115, 6.7395, 1.11443, 456.675, 84.5406
3, 88, 15.5693, 4.09918e-05, 1.67451, 2.52782, 0.793803, 0.981893, -10.6897, 3.95293, 698.624, 0.0205823, 6.668, 0.575, 5.29308, 0
4, 88, 14.3445, 1.82635e-05, 1.62002, 0.0651611, 3.25376, 0.191443, -2.28166, 0.501051, 704.226, 0.00645694, 4.712, 0.575, 15.3317, 0
0, 89, 13.7332, 1.57402e-05, 1.15427, 0.0229411, 5.70114, 0.168651, 1.51654, 0.177303, 703.336, 0.00283165, 3.96, 0.455, 22.5765, 0
1, 89, 12.334, 4.53804e-05, 0.579875, 0.01499, 12.6385, 0.479695, -6.93004, 0.0331911, 710.339, 0.00157985, 3.814, 0.321734, 48.2032, 4.45887
0, 91, 13.4645, 0.00104904, 1.41956, 0.784858, 54.0905, 26.2141, 70.8319, 26.4684, 702.881, 0.758795, 3.829, 0.136585, 207.113, 100.645
1, 91, 13.4629, 0.000107209, 2.26789, 0.0311717, 55.9448, 1.27185, -5.62493, 0.124538, 703.598, 0.00812374, 3.567, 0.355382, 199.555, 20.3928
2, 91, 12.202, 4.22787e-05, 1.36197, 0.0296252, 13.9917, 0.452553, -5.39489, 0.0907454, 709.723, 0.00362419, 3.703, 0.26154, 51.8113, 4.02485
0, 92, 10.0205, 4.93297e-05, 0.805516, 0.0413737, 6.91484, 0.513226, -5.51467, 0.0738234, 721.669, 0.00316324, 0.494, 0.472, 3.41593, 0
0, 95, 12.3102, 6.20705e-05, 1.04493, 0.043551, 10.7223, 0.650272, -2.85778, 0.0758329, 715.283, 0.00386532, 4.6205, 0.431399, 49.5424, 5.51576
0, 96, 15.8953, 0.000198512, 0.196081, 0.0159916, 17.5186, 2.15227, -3.17071, 0.0548177, 696.472, 0.00232693, 6.033, 0.46223, 105.69, 15.3027
0, 97, 14.566, 3.4449e-05, 0.767945, 0.0364207, 5.22945, 0.365066, -5.05758, 0.213926, 700.317, 0.00390571, 4.117, 0.531, 21.5296, 0
0, 99, 14.8014, 2.93069e-05, 0.57401, 0.0154499, 7.83781, 0.314495, -3.30965, 0.0909363, 698.707, 0.00194471, 3.967, 0.433, 31.0926, 0
2, 99, 15.1648, 0.000206011, 0.809967, 0.0447577, 26.7836, 2.36915, -2.22174, 0.265807, 697.314, 0.00977552, 6.513, 0.36528, 174.442, 18.2705
1, 103, 11.414, 5.30904e-05, 0.916798, 0.051797, 6.76553, 0.555727, -0.705436, 0.136711, 717.255, 0.00451733, 5.072, 0.960296, 34.3148, 7.08199
2, 103, 14.5714, 3.99888e-05, 0.713021, 0.0181092, 11.3356, 0.421055, -5.24115, 0.037974, 703.587, 0.00177023, 5.5355, 1.8362, 62.7482, 20.9445
0, 105, 11.6733, 2.33111e-05, 2.60572, 0.042609, 10.2614, 0.250789, 0.098678, 0.20534, 717.614, 0.00551031, 4.392, 1.02215, 45.0681, 10.5464
1, 106, 14.3408, 9.02052e-05, 0.766795, 0.0272138, 18.2967, 0.964583, -5.12385, 0.0619092, 705.976, 0.00331518, 3.0175, 0.664947, 55.2103, 12.5097
0, 108, 10.8841, 4.24632e-05, 1.11196, 0.027208, 12.4942, 0.446986, -3.81585, 0.0511418, 719.324, 0.00263375, 4.855, 0.972876, 60.6593, 12.3475
0, 112, 13.932, 2.24472e-05, 0.27951, 0.0194469, 1.64666, 0.171664, -3.43641, 0.446279, 708.206, 0.00235142, 3.618, 0.6455, 5.95762, 0
