#sol, Ls, LMST, delta P, delta P err, Gamma, Gamma err
111, 128.2, 1225:27, 0.66, 3, 16, 2
111, 128.3, 1533:14, 0.56, 2, 21, 2
113, 129.2, 1026:04, 0.76, 2, 20.3, 8
113, 129.2, 1156:16, 1.03, 3, 7.5, 4
114, 129.7, 1231:00, 0.57, 2, 13.2, 7
114, 129.7, 1455:01, 0.71, 2, 9.4, 4
116, 130.6, 0856:23, 0.53, 2, 5.7, 3
116, 130.7, 1231:11, 0.83, 6, 1.8, 2
116, 130.7, 1444:10, 0.84, 3, 5.5, 4
117, 131.2, 1407:18, 0.57, 3, 2.5, 3
117, 131.2, 1420:30, 0.84, 4, 2.4, 2
117, 131.2, 1430:30, 0.68, 2, 11.9, 6
117, 131.2, 1458:57, 0.58, 4, 4.6, 5
118, 131.6, 1105:26, 2.37, 7, 13.4, 8
118, 131.6, 1105:26, 2.08, 8, 9.9, 6
120, 132.6, 1142:12, 1.48, 6, 2.4, 2
121, 133.1, 1055:10, 1.39, 4, 4.4, 3
121, 133.1, 1303:44, 0.65, 4, 5.8, 7
121, 133.1, 1333:00, 0.60, 3, 9, 2
122, 133.6, 1125:49, 0.78, 4, 2.8, 3
122, 133.6, 1255:04, 1.63, 6, 4.0, 3
122, 133.6, 1307:55, 0.62, 3, 3.2, 3
122, 133.7, 1527:26, 0.74, 2, 13.0, 8
123, 134.1, 1018:23, 0.66, 2, 6.5, 3
123, 134.1, 1302:15, 0.69, 2, 11.1, 6
123, 134.2, 1443:30, 0.83, 2, 8.8, 4
124, 134.6, 1359:47, 0.54, 3, 9.3, 9
125, 135.1, 1407:12, 2.00, 3, 4.36, 9
125, 135.1, 1415:56, 0.51, 4, 4.2, 6
126, 135.6, 1321:01, 1.13, 3, 7.3, 4
126, 135.6, 1434:32, 0.52, 2, 11.6, 8
126, 135.6, 1439:08, 0.63, 6, 3.8, 7
127, 136.1, 1225:20, 1.07, 3, 20.8, 8
128, 136.5, 0924:04, 1.23, 6, 29, 2
128, 136.5, 1046:47, 0.67, 3, 20, 2
128, 136.6, 1319:18, 0.53, 2, 15, 2
128, 136.6, 1327:37, 0.57, 4, 3.8, 5
128, 136.6, 1357:45, 0.57, 4, 2.4, 3
129, 137.0, 0958:50, 2.16, 4, 6.9, 3
129, 137.1, 1311:48, 1.58, 5, 3.0, 2
129, 137.1, 1425:13, 0.52, 2, 4.9, 3
130, 137.5, 1010:44, 0.94, 3, 8.8, 6
130, 137.6, 1155:13, 0.56, 2, 12.4, 10
131, 138.0, 1003:36, 0.85, 2, 6.0, 3
131, 138.0, 1101:37, 0.59, 6, 1.6, 3
131, 138.1, 1353:35, 1.61, 2, 5.2, 2
131, 138.1, 1409:27, 1.02, 6, 3.4, 4
132, 138.5, 0942:13, 0.58, 3, 4.3, 4
132, 138.6, 1401:44, 1.61, 3, 5.6, 2
133, 139.1, 1550:31, 0.67, 5, 1.8, 3
136, 140.5, 1041:43, 2.19, 4, 14.2, 6
136, 140.6, 1208:29, 2.51, 3, 8.6, 2
136, 140.6, 1444:46, 0.56, 2, 6.2, 5
136, 140.6, 1626:38, 0.95, 2, 6.6, 3
137, 141.1, 1221:09, 0.57, 3, 5.8, 5
138, 141.6, 1344:01, 0.80, 3, 11.4, 9
139, 142.0, 1016:30, 0.55, 2, 6.5, 4
139, 142.1, 1236:28, 0.80, 4, 2.6, 2
139, 142.1, 1307:27, 0.88, 2, 7.4, 3
139, 142.1, 1326:29, 0.62, 3, 7.2, 6
139, 142.1, 1501:11, 1.13, 3, 4.7, 2
140, 142.6, 1226:43, 0.53, 2, 16, 2
140, 142.6, 1319:51, 1.27, 4, 4.5, 3
140, 142.6, 1541:41, 0.80, 5, 24, 3
141, 143.1, 1226:32, 0.57, 3, 6.4, 6
141, 143.1, 1455:01, 0.65, 2, 4.5, 3
142, 143.6, 1417:55, 0.89, 4, 14, 2
144, 144.5, 0950:40, 0.67, 3, 3.2, 3
144, 144.6, 1200:38, 1.01, 5, 3.0, 3
144, 144.6, 1246:58, 0.56, 3, 3.9, 4
144, 144.6, 1320:17, 0.86, 4, 3.4, 3
144, 144.6, 1446:09, 0.79, 2, 12.1, 7
144, 144.6, 1604:57, 0.56, 2, 4.5, 3
145, 145.0, 0931:39, 0.84, 5, 2.5, 3
145, 145.0, 1019:32, 0.51, 3, 3.1, 3
145, 145.1, 1224:25, 1.02, 3, 3.2, 2
146, 145.6, 1420:42, 0.61, 3, 5.9, 4
146, 145.6, 1455:07, 0.51, 4, 23, 3
146, 145.7, 1559:11, 0.55, 3, 6.8, 6
147, 146.1, 1357:36, 0.57, 3, 3.2, 3
148, 146.5, 0903:27, 0.57, 5, 2.0, 3
148, 146.5, 0955:08, 0.95, 8, 0.65, 8
148, 146.5, 1028:33, 1.06, 3, 7.9, 4
148, 146.6, 1148:47, 0.85, 6, 1.9, 2
150, 147.5, 0931:53, 0.70, 3, 14, 2
150, 147.6, 1009:35, 0.59, 4, 2.5, 3
150, 147.6, 1021:35, 1.03, 4, 6.1, 5
