# sol, vortex_number, DeltaPobs, Dobs, Pact, Vact, Dact, bact, U1, U2
254, 4, 3.374820, 89.669600, 3.667710, 15.857486 86.014772, 12.669808, 9.194500, 8.886000
65, 0, 3.369650, 24.258400, 3.724697, 16.755788 23.073266, 3.744809, 1.430000, 6.601000
65, 2, 3.349090, 23.285800, 3.704352, 16.710274 22.141061, 3.605617, 1.430000, 6.601000
453, 4, 3.342420, 14.577300, 3.788505, 17.872647 13.692214, 2.501047, 6.830000, 13.387500
286, 3, 3.301890, 22.469200, 3.620221, 15.953669 21.458599, 3.331421, 6.422000, 9.127000
435, 8, 3.287360, 13.387800, 3.713133, 17.758652 12.596869, 2.266721, 9.965500, 12.647000
241, 2, 3.177540, 37.626600, 3.795501, 16.114746 34.427534, 7.591211, 5.222000, 9.639000
44, 0, 3.143400, 125.185000, 3.254582, 15.617089 123.028163, 11.568872, 11.707000, 11.388500
411, 10, 3.136040, 42.613600, 3.571408, 17.226276 39.931837, 7.439209, 11.114000, 13.208000
289, 1, 3.107320, 24.128000, 3.556327, 15.895528 22.553476, 4.286640, 6.488000, 10.586500
402, 1, 3.105540, 78.418500, 3.715102, 17.668654 71.697127, 15.882247, 10.790000, 11.706000
402, 0, 3.103480, 76.756800, 3.713399, 17.664609 70.170651, 15.553827, 10.787500, 11.707000
364, 6, 3.083280, 167.512000, 3.886127, 17.631981 149.208623, 38.069203, 7.413000, 11.729000
138, 13, 3.082900, 106.873000, 3.433578, 15.958241 101.268479, 17.077275, 4.443000, 6.533000
197, 2, 3.078360, 18.653100, 3.261080, 15.075166 18.122995, 2.207668, 7.555000, 4.699000
187, 3, 3.075410, 61.511900, 3.177640, 14.874834 60.514342, 5.516528, 10.415000, 9.996500
346, 3, 3.060080, 236.362000, 3.274814, 15.892952 228.481349, 30.262469, 7.569000, 8.174000
297, 9, 3.037000, 108.932000, 3.412897, 15.567093 102.758158, 18.075824, 8.625000, 10.754000
297, 7, 3.034480, 83.773400, 3.482568, 15.726650 78.198515, 15.024769, 7.840500, 11.193000
297, 8, 3.017480, 81.529400, 3.465938, 15.689102 76.072218, 14.663396, 7.840500, 11.193000
346, 1, 2.988480, 227.273000, 3.202929, 15.717628 219.532779, 29.403978, 7.580000, 7.732500
138, 7, 2.958040, 108.262000, 3.268828, 15.570864 102.986911, 16.690992, 4.973500, 6.660500
466, 2, 2.954610, 64.188700, 4.261621, 19.044895 53.446746, 17.773819, 7.141000, 7.944000
