# sol, t0, DeltaP, DeltaP_unc, Gamma, Gamma_unc, U, U_unc, Diameter, Diameter_unc
373, 9.38409, 0.756209, 0.0348853, 4.56473, 0.308354, 7.698, 2.0623, 35.1393, 9.7085
373, 15.245, 1.04571, 0.0229407, 16.7111, 0.77646, 3.217, 0.518911, 53.7596, 9.02416
373, 15.2451, 1.01676, 0.0272709, 15.3519, 0.869416, 2.957, 0.480363, 45.3956, 7.80976
373, 15.245, 1.06921, 0.015209, 19.4715, 0.409891, 5.019, 3.05713, 97.7275, 59.5624
374, 13.7241, 0.977049, 0.102078, 2.52747, 0.393411, 7.549, 0.183843, 19.0799, 3.00599
374, 11.1438, 0.658883, 0.0382033, 8.86768, 0.766739, 7.742, 0.227579, 68.6536, 6.26976
374, 12.1141, 1.22986, 0.0522734, 3.77005, 0.238474, 11.4965, 2.3388, 43.3424, 9.23381
374, 14.3153, 1.68189, 0.05989, 3.90004, 0.204454, 10.7365, 1.10306, 41.8728, 4.82964
374, 10.8216, 1.49992, 0.0643071, 5.54241, 0.353163, 13.587, 3.65313, 75.3047, 20.808
376, 11.6479, 4.36346, 0.964584, 0.976923, 0.206539, 7.103, 0.994826, 6.93908, 1.75976
377, 9.26489, 1.4937, 0.459017, 1.22346, 0.450691, 6.623, 1.023, 8.10298, 3.23671
377, 14.6767, 0.45272, 0.109306, 0.922764, 0.303941, 8.7975, 0.651604, 8.11802, 2.74069
377, 9.88806, 0.484794, 0.0297424, 16.8487, 1.5683, 11.726, 2.55897, 197.568, 46.8735
377, 9.26489, 1.47971, 0.449513, 1.24973, 0.452318, 6.623, 1.023, 8.27696, 3.2571
377, 13.0663, 2.00419, 0.0491237, 10.6525, 0.383528, 8.161, 0.917731, 86.9351, 10.265
378, 13.1151, 0.799724, 0.0766395, 4.03947, 0.568177, 9.787, 1.54191, 39.5343, 8.34961
378, 11.3974, 0.60256, 0.0373523, 20.1122, 2.69175, 11.0025, 2.55082, 221.284, 59.2373
