# sol, t0, DeltaP, DeltaP_unc, Gamma, Gamma_unc, U, U_unc, Diameter, Diameter_unc
415, 15.0782, 0.690572, 0.0807707, 1.69722, 0.279161, 9.594, 1.57304, 16.2831, 3.78166
416, 11.1785, 2.32708, 5.96425, 0.515061, 0.848661, 15.378, 0.363, 7.92061, nan
416, 13.8936, 0.632743, 0.0321426, 35.936, 2.75476, 5.5225, 1.62197, 198.457, 60.2396
417, 15.1739, 0.455184, 0.0265705, 16.9199, 2.11809, 10.399, 1.19868, 175.95, 29.9414
417, 14.2212, 0.895653, 0.0542562, 16.8939, 1.49638, 13.368, 1.77616, 225.838, 36.0627
417, 15.1735, 0.404563, 0.0206012, 24.7895, 1.87915, 8.9575, 0.914024, 222.052, 28.2263
418, 11.187, 0.375779, 0.02043, 55.1923, 4.61388, 8.801, 1.55303, 485.747, 94.8471
418, 14.7108, 0.561839, 0.0672408, 9.51872, 2.11169, 10.403, 0.999274, 99.0232, 23.9387
418, 14.7076, 0.445793, 0.0186882, 88.4795, 6.58882, 9.397, 2.03265, 831.442, 190.207
419, 14.4193, 0.935248, 0.0282792, 13.6764, 0.849002, 7.8415, 1.75392, 107.243, 24.894
419, 14.4193, 0.932679, 0.0283122, 13.5778, 0.846406, 7.8415, 1.75392, 106.47, 24.7219
419, 14.4194, 0.908751, 0.0630633, 14.5847, 1.48825, 7.8415, 1.75392, 114.366, 28.1167
419, 12.144, 0.896575, 0.0560253, 4.34587, 0.393216, 6.938, 1.45295, 30.1516, 6.87848
419, 10.5439, 1.30272, 0.107624, 3.61825, 0.435231, 8.819, 0.677549, 31.9093, 4.55441
420, 11.8529, 1.3246, 0.0496592, 3.26877, 0.179957, 8.6865, 0.884372, 28.3942, 3.28639
421, 10.9885, 1.94706, 0.170081, 18.2216, 3.27456, 7.7835, 0.480363, 141.828, 26.9486
421, 10.9885, 1.87242, 0.136168, 16.6014, 2.58812, 7.961, 0.440333, 132.164, 21.8624
421, 10.9884, 1.82583, 0.0561001, 16.2529, 0.752028, 7.955, 0.441815, 129.292, 9.34626
422, 11.1743, 0.83674, 0.0561249, 7.04162, 0.687486, 4.979, 2.31434, 35.0602, 16.6523
422, 13.8858, 3.71733, 0.396752, 25.1801, 3.81479, 8.787, 0.484811, 221.258, 35.6743
422, 13.8858, 3.77536, 1.01924, 29.1432, 7.52642, 8.652, 0.505567, 252.147, 66.7646
422, 13.8861, 3.71331, 0.205923, 21.3881, 2.50382, 8.8775, 0.761316, 189.873, 27.5537
422, 13.8861, 3.7386, 0.186355, 21.5828, 2.29923, 8.851, 0.579697, 191.029, 23.8889
422, 13.8863, 3.58979, 0.145251, 21.4757, 1.75928, 8.904, 0.864357, 191.22, 24.289
422, 13.8855, 4.21533, 0.0450526, 30.6206, 0.487268, 8.636, 0.720545, 264.44, 22.4612
422, 12.8848, 2.47312, 0.127758, 3.5818, 0.273929, 7.702, 1.98965, 27.587, 7.43228
423, 11.0671, 0.831023, 0.0330984, 11.695, 0.694194, 7.944, 0.681997, 92.9051, 9.69678
423, 12.9979, 1.26174, 0.0296743, 2.5596, 0.0907711, 6.724, 0.502602, 17.2108, 1.4239
423, 11.1378, 1.29329, 0.0557198, 3.82802, 0.242761, 10.786, 1.83324, 41.289, 7.49025
427, 11.5807, 0.533961, 0.0320193, 14.1232, 1.75353, 5.364, 2.79174, 75.7568, 40.5347
427, 12.0651, 0.885446, 0.10081, 4.36846, 0.761957, 12.305, 2.31434, 53.7539, 13.7885
427, 14.0388, 2.3643, 0.0446609, 28.6631, 0.803435, 3.054, 0.941452, 87.5371, 27.0963
429, 14.2678, 0.498812, 0.0176809, 70.9076, 3.75379, 4.557, 2.26245, 323.126, 161.334
429, 11.3444, 1.478, 0.336538, 1.75904, 0.632282, 16.699, 0.490741, 29.3742, 10.5937
429, 11.3444, 1.48844, 0.478718, 1.50814, 0.73156, 15.164, 2.76654, 22.8694, 11.8521
429, 11.3423, 0.725183, 0.0986118, 28.1577, 7.94421, 7.744, 0.945159, 218.053, 67.0297
430, 11.8525, 0.534603, 0.0959278, 4.55263, 1.17646, 9.052, 0.907353, 41.2104, 11.4224
430, 10.8309, 1.04052, 0.0930941, 2.77724, 0.367615, 13.73, 0.971104, 38.1315, 5.72272
430, 14.5533, 0.393806, 0.0358188, 12.6049, 1.67407, 8.676, 0.488517, 109.36, 15.7756
430, 10.9533, 4.19731, 0.0841132, 5.32735, 0.159909, 7.6545, 0.459607, 40.7782, 2.73739
431, 11.0643, 1.48794, 0.0602231, 6.62262, 0.396276, 9.636, 0.950348, 63.8156, 7.36158
431, 12.2655, 1.99342, 0.0402084, 8.50241, 0.309096, 12.897, 1.91552, 109.656, 16.7673
431, 12.2655, 2.002, 0.0348908, 8.78213, 0.226898, 12.7355, 1.92738, 111.845, 17.1714
432, 15.1046, 0.668163, 0.0189939, 7.33953, 0.308244, 9.521, 1.50781, 69.8797, 11.4491
433, 13.9125, 0.714159, 0.0710116, 33.2693, 4.80181, 6.442, 2.96076, 214.321, 103.245
433, 13.9103, 1.14631, 0.0194586, 49.9114, 1.81469, 4.014, 1.49076, 200.344, 74.7614
433, 13.912, 0.833567, 0.0743109, 36.6618, 4.79546, 4.9315, 2.83992, 180.798, 106.769
433, 13.9123, 0.876921, 0.100341, 41.0875, 5.86734, 3.678, 0.991861, 151.12, 46.1141
433, 13.9121, 0.87777, 0.0832422, 39.5361, 5.08147, 4.01, 1.48408, 158.54, 62.1125
433, 13.9624, 1.21775, 0.139785, 10.7243, 1.76815, 6.697, 0.990378, 71.8206, 15.9067
433, 13.9625, 1.19761, 0.134922, 8.98361, 1.46976, 6.3435, 0.99112, 56.9875, 12.892
434, 13.9803, 1.64113, 0.0299365, 1.49696, 0.0431096, 8.378, 0.493707, 12.5415, 0.82259
435, 14.8175, 1.0937, 0.0915769, 19.5038, 2.65749, 5.337, 0.978517, 104.092, 23.7779
435, 9.34659, 0.447548, 0.0590579, 3.87762, 0.745362, 13.426, 0.596006, 52.0609, 10.2706
435, 14.8177, 1.24549, 0.0790667, 23.116, 2.43269, 4.2175, 1.33582, 97.4917, 32.5388
435, 14.818, 1.34883, 0.0613574, 24.8178, 2.11301, 4.775, 2.13791, 118.505, 54.0091
435, 14.818, 1.32982, 0.0554437, 23.9803, 2.00231, 4.2175, 1.33582, 101.137, 33.1279
435, 14.8179, 1.29335, 0.052235, 22.4191, 1.9105, 5.071, 2.09195, 113.687, 47.8899
435, 11.9556, 1.78159, 0.105623, 5.26858, 0.474483, 5.958, 0.698306, 31.3902, 4.63976
435, 14.8178, 1.50487, 0.016373, 30.2773, 0.493852, 6.506, 1.53449, 196.984, 46.5713
435, 11.9775, 3.28736, 0.0718994, 1.34341, 0.0459571, 9.9655, 2.12086, 13.3878, 2.88576
436, 10.2997, 1.70732, 0.0994177, 2.292, 0.191232, 19.059, 2.31286, 43.6832, 6.43313
438, 12.3613, 1.18116, 0.0488279, 2.91634, 0.177587, 7.761, 0.461089, 22.6337, 1.92556
438, 10.9202, 1.71764, 0.0666065, 7.43534, 0.424296, 7.249, 1.11343, 53.8988, 8.83165
440, 11.1581, 1.2882, 0.0560111, 2.83698, 0.183816, 10.297, 0.374357, 29.2124, 2.17036
441, 12.1657, 1.4833, 0.581586, 1.33337, 0.639541, 8.128, 0.225356, 10.8376, 5.20687
441, 9.58182, 1.52006, 0.0541652, 6.29243, 0.330737, 9.178, 0.842859, 57.7519, 6.11088
442, 13.5381, 0.874431, 0.0448692, 12.2272, 0.909713, 9.7995, 0.745008, 119.82, 12.7457
442, 10.4543, 5.22974, 0.32746, 4.2559, 0.399442, 11.6695, 2.37068, 49.6642, 11.1141
443, 12.7928, 1.03969, 0.0538717, 5.84537, 0.439554, 6.721, 0.724251, 39.2867, 5.16238
443, 9.41128, 2.62074, 0.182802, 1.69711, 0.171283, 8.718, 0.0340999, 14.7954, 1.49437
443, 14.6399, 1.87078, 0.0891885, 9.56675, 0.846262, 9.567, 1.48853, 91.5251, 16.381
443, 14.6399, 1.8645, 0.0443719, 9.39239, 0.332486, 9.567, 1.48853, 89.857, 14.3382
444, 15.2311, 0.466595, 0.0158606, 18.4703, 0.915617, 13.867, 2.91331, 256.128, 55.2874
444, 14.1378, 0.629456, 0.0684202, 8.8918, 1.4107, 10.0585, 1.99707, 89.4382, 22.7304
446, 9.31333, 1.48194, 0.0630488, 4.88546, 0.306997, 9.578, 0.599713, 46.7929, 4.15093
446, 15.4923, 2.25946, 0.172141, 0.858212, 0.0614148, 11.508, 0.994826, 9.8763, 1.10835
447, 13.6664, 2.29632, 0.115147, 7.7026, 0.680038, 8.205, 1.00669, 63.1998, 9.55298
447, 13.6664, 2.27081, 0.0404656, 7.2437, 0.191651, 8.205, 0.526324, 59.4346, 4.12409
448, 15.0777, 0.545263, 0.0238496, 4.92373, 0.314745, 7.41, 1.10602, 36.4848, 5.92416
448, 11.8012, 1.84721, 0.0623394, 3.67618, 0.184084, 9.1685, 0.952572, 33.7051, 3.88733
450, 12.8503, 2.45409, 0.037777, 17.6893, 0.403813, 8.8265, 0.742042, 156.135, 13.6015
451, 11.1, 0.727796, 0.0709368, 2.48152, 0.355352, 8.222, 0.462572, 20.4031, 3.13911
451, 10.4869, 0.718308, 0.0457445, 8.26749, 0.768376, 12.512, 2.599, 103.443, 23.5399
451, 12.8611, 0.994898, 0.067239, 5.43477, 0.545317, 6.302, 1.45443, 34.2499, 8.61924
453, 9.81367, 1.44964, 0.0556043, 3.92749, 0.237461, 8.639, 0.60935, 33.9296, 3.15211
453, 9.81367, 1.43766, 0.0554971, 3.78167, 0.217104, 8.642, 0.394372, 32.6812, 2.39675
453, 12.8071, 1.93489, 0.0404409, 14.5225, 0.632436, 10.506, 1.46185, 152.573, 22.2451
453, 12.8069, 1.96617, 0.043665, 15.8525, 0.52929, 10.3425, 1.71166, 163.954, 27.6808
453, 10.3472, 3.34242, 0.0602594, 2.13431, 0.0564332, 6.83, 0.851755, 14.5773, 1.85832
453, 12.2363, 6.0968, 0.102635, 5.96736, 0.149882, 2.169, 0.484811, 12.9432, 2.91125
454, 16.0672, 0.555821, 0.00817017, 41.6861, 0.900504, 9.436, 1.43368, 393.35, 60.3654
454, 12.1088, 0.785089, 0.0527429, 11.5126, 1.50942, 8.271, 0.480363, 95.2207, 13.6544
454, 11.1557, 1.29074, 0.049072, 3.84058, 0.213802, 9.25, 2.15274, 35.5254, 8.50101
455, 9.79163, 0.815209, 0.0794235, 5.12559, 0.814594, 13.6865, 1.44257, 70.1514, 13.378
455, 14.4742, 0.70426, 0.0244266, 18.8895, 1.41709, 4.8185, 1.71759, 91.0191, 33.1553
455, 14.4738, 0.79855, 0.0207948, 31.7982, 1.22629, 7.861, 1.25206, 249.966, 40.9636
455, 12.7036, 1.26231, 0.105558, 1.17162, 0.169703, 9.2855, 1.21944, 10.8791, 2.12704
456, 13.6515, 0.411168, 0.0255526, 7.99937, 0.741936, 8.182, 0.275764, 65.4508, 6.4589
456, 12.0811, 1.70117, 0.0963119, 11.5269, 1.2743, 8.028, 1.48408, 92.538, 19.9324
456, 12.0811, 1.73784, 0.0493658, 13.4567, 0.577654, 7.357, 1.39068, 99.0009, 19.1905
456, 12.4582, 5.93449, 0.799309, 1.44456, 0.256175, 10.772, 0.0029652, 15.5608, 2.75952
457, 10.3532, 1.302, 0.173174, 2.4547, 0.489431, 5.51, 0.280212, 13.5254, 2.7831
457, 10.3738, 1.80589, 0.12949, 2.50629, 0.267057, 7.103, 1.95259, 17.8022, 5.24853
458, 13.0425, 2.80149, 0.248231, 0.979393, 0.102322, 5.4195, 1.53227, 5.30782, 1.59987
459, 11.2589, 0.894753, 0.0529927, 8.46631, 0.750766, 7.129, 2.29655, 60.3563, 20.1665
459, 14.5798, 1.98095, 0.0716839, 6.74751, 0.417871, 6.6865, 0.830257, 45.1172, 6.26029
459, 14.5798, 1.99399, 0.0428155, 7.26075, 0.235425, 6.852, 0.65531, 49.7507, 5.02406
459, 13.6888, 8.18645, 0.180191, 3.16881, 0.10526, 1.787, 0.548563, 5.66266, 1.74844
460, 11.926, 1.23186, 0.17706, 30.9942, 9.09862, 8.049, 1.33805, 249.472, 84.162
460, 10.8294, 0.651885, 0.0435843, 8.918, 0.895543, 7.694, 0.682738, 68.6151, 9.19501
460, 11.9259, 1.33813, 0.0274852, 36.8759, 1.15058, 8.0215, 1.01484, 295.8, 38.5445
460, 14.253, 1.13903, 0.0256575, 7.10404, 0.239028, 8.2485, 0.610832, 58.5977, 4.76629
463, 10.5701, 1.3543, 0.0544707, 3.97056, 0.230973, 7.836, 0.876959, 31.1133, 3.92431
463, 13.7065, 2.18351, 0.0238803, 10.0531, 0.163313, 4.591, 0.0126021, 46.1538, 0.760398
464, 13.3605, 1.94313, 1.27101, 0.505532, 0.232739, 8.284, 0.34, 4.18783, nan
465, 11.8301, 0.95717, 0.0467452, 19.9308, 1.42456, 8.5385, 0.932557, 170.179, 22.2129
465, 13.2565, 1.53223, 0.0933989, 1.78932, 0.160173, 15.0685, 2.49003, 26.9624, 5.06719
465, 12.9203, 1.52282, 0.068585, 10.3215, 0.886043, 6.189, 0.962209, 63.8798, 11.3448
465, 12.9203, 1.52263, 0.0598724, 10.3265, 0.774039, 6.189, 0.962209, 63.9107, 11.0308
465, 12.9202, 1.54055, 0.0419744, 10.7465, 0.434485, 6.192, 0.953313, 66.5423, 10.5921
465, 12.5772, 1.93115, 0.0596633, 5.69672, 0.264708, 5.653, 0.960726, 32.2036, 5.67387
466, 14.8045, 0.67402, 0.0446212, 4.7523, 0.455242, 4.445, 0.0934039, 21.124, 2.07166
466, 11.5329, 1.08004, 0.180937, 3.29782, 0.819805, 9.042, 1.86956, 29.8189, 9.64162
466, 13.4939, 2.95461, 0.134072, 8.98875, 0.612924, 7.141, 2.31138, 64.1887, 21.2324
467, 14.4975, 0.146328, 0.157557, 1.02813, 1.36109, 8.451, 1.00076, 8.68873, 11.5485
467, 14.4924, 0.603306, 0.0620076, 42.1859, 6.42985, 9.153, 1.52115, 386.128, 87.072
467, 14.4917, 0.436094, 0.100256, 32.5033, 8.6262, 9.152, 1.50039, 297.47, 92.795
467, 14.4915, 0.43456, 0.0627094, 27.6504, 5.83386, 8.78, 1.03634, 242.771, 58.6919
467, 14.4983, 0.102614, 0.0358393, 9.47544, 6.16499, 4.423, 0.0607867, 41.9099, 27.2738
467, 14.4906, 0.596198, 0.0446672, 34.073, 3.41941, 9.5155, 1.53523, 324.222, 61.6038
467, 14.4911, 0.524938, 0.0629938, 31.1244, 5.25913, 8.9725, 1.25428, 279.264, 61.2429
467, 14.4907, 0.565979, 0.0497631, 32.4557, 4.14635, 9.157, 1.50781, 297.197, 61.9387
467, 14.4905, 0.544594, 0.035026, 31.0062, 3.32032, 9.145, 1.49446, 283.552, 55.4001
467, 15.4655, 0.522362, 0.0344689, 2.28001, 0.222301, 6.218, 0.00518911, 14.1771, 1.38232
467, 14.4906, 0.583744, 0.052013, 34.0859, 4.4657, 9.5155, 1.53523, 324.344, 67.4099
467, 14.4937, 1.0571, 0.0166711, 83.3541, 1.95071, 7.201, 2.95631, 600.233, 246.821
467, 11.7383, 1.10601, 0.0806787, 1.82022, 0.197793, 7.2835, 0.249077, 13.2576, 1.51028
467, 12.4629, 2.60298, 0.100084, 4.4574, 0.252323, 6.982, 0.947383, 31.1216, 4.57561
468, 14.6293, 0.597572, 0.05671, 12.9471, 2.48564, 4.5535, 0.544856, 58.9546, 13.3367
468, 14.6281, 0.675279, 0.0230982, 30.6654, 1.56452, 4.48, 0.0770953, 137.381, 7.39703
468, 10.9658, 1.93333, 0.158635, 2.28188, 0.277026, 8.604, 0.892527, 19.6333, 3.13514
468, 11.3681, 1.25377, 0.0405793, 2.77616, 0.134144, 8.134, 0.0163086, 22.5813, 1.09207
468, 10.7421, 2.45595, 0.0709574, 15.2735, 0.932221, 9.321, 1.1038, 142.364, 18.9664
468, 10.7421, 2.528, 0.0398284, 18.9752, 0.446137, 8.197, 1.87475, 155.54, 35.7612
469, 12.9033, 2.21262, 0.073579, 12.8101, 0.865748, 3.089, 0.760575, 39.5704, 10.1034
469, 12.9034, 2.20791, 0.0764754, 12.5992, 0.87425, 3.0905, 0.259455, 38.9378, 4.24099
469, 12.9034, 2.20732, 0.0701983, 12.622, 0.809105, 3.0905, 0.259455, 39.0083, 4.12035
469, 12.9033, 2.26923, 0.0605038, 15.6712, 0.616225, 2.4285, 0.99705, 38.0575, 15.6965
469, 11.023, 2.41366, 0.0308472, 7.59494, 0.144461, 5.6775, 1.39809, 43.1203, 10.6501
470, 15.6958, 0.749558, 0.0296047, 19.8837, 1.69278, 8.1585, 1.44405, 162.221, 31.8618
470, 15.6958, 0.854931, 0.0103685, 26.2312, 0.604689, 5.792, 2.47002, 151.931, 64.8861
470, 15.696, 0.854596, 0.0121743, 36.8652, 0.781438, 4.3885, 0.0896974, 161.783, 4.7639
470, 13.5979, 1.36953, 0.0339447, 7.41891, 0.320815, 3.371, 0.504085, 25.0091, 3.89299
470, 13.5979, 1.37605, 0.0263709, 7.74101, 0.218675, 3.3715, 0.505567, 26.0988, 3.98244
472, 10.1934, 2.61809, 0.114442, 6.5871, 0.49075, 9.089, 1.28986, 59.8702, 9.59611
472, 10.1934, 2.60348, 0.0592351, 6.30367, 0.210564, 9.089, 1.28986, 57.2941, 8.35307
472, 13.8943, 1.37038, 0.0331423, 12.9861, 0.470858, 8.8285, 0.440333, 114.648, 7.06953
473, 13.2297, 1.23689, 0.0968582, 22.3178, 3.66933, 8.5355, 0.968881, 190.494, 38.0589
473, 14.702, 0.91205, 0.0275884, 4.78684, 0.215565, 4.523, 0.00593041, 21.6509, 0.975414
473, 13.2297, 1.22746, 0.105817, 22.9982, 3.78812, 8.5495, 0.989637, 196.623, 39.5841
473, 13.2294, 1.42997, 0.109025, 26.7602, 3.83088, 9.732, 1.77764, 260.43, 60.4389
473, 13.2294, 1.35301, 0.0323945, 22.9602, 0.809928, 8.554, 0.993343, 196.402, 23.8364
473, 15.3555, 1.2271, 0.031547, 6.21337, 0.269223, 8.449, 0.994826, 52.4968, 6.58647
473, 15.3555, 1.23412, 0.0188873, 6.77292, 0.151479, 7.4285, 2.01412, 50.3126, 13.6878
474, 11.7875, 1.42341, 0.0427896, 23.3848, 1.37521, 4.491, 0.501861, 105.021, 13.2618
474, 11.7869, 1.54842, 0.0359488, 35.3988, 1.22191, 4.152, 0.446263, 146.976, 16.5919
475, 15.2281, 1.8675, 0.0894842, 3.61314, 0.253692, 10.744, 0.341, 38.8196, nan
476, 14.269, 0.788892, 0.0173966, 5.03182, 0.164155, 6.346, 0.513, 31.9319, nan
67, 13.9879, 1.41716, 0.041543, 6.4189, 0.281917, 3.923, 0.567, 25.1813, nan
67, 12.7606, 1.74537, 0.0250143, 9.33541, 0.193959, 2.6485, 1.74576, 24.7248, 16.3055
103, 11.414, 0.911631, 0.0424201, 6.55757, 0.445453, 4.156, 0.539, 27.2533, nan
105, 11.6733, 2.58419, 0.10633, 9.12913, 0.693739, 4.392, 1.44554, 40.0951, 13.5437
105, 11.6733, 2.60896, 0.0340613, 9.92135, 0.189337, 4.392, 1.44554, 43.5746, 14.3658
108, 10.8841, 1.11196, 0.027208, 12.4942, 0.446986, 4.855, 1.37585, 60.6593, 17.3266
113, 12.5502, 1.01827, 0.0410103, 7.01557, 0.416611, 3.74, 0.204599, 26.2382, 2.11851
114, 14.7997, 1.33207, 0.0363385, 7.0948, 0.285513, 3.238, 0.741, 22.973, nan
114, 12.4054, 1.89782, 0.0344024, 5.91317, 0.156441, 2.592, 0.741, 15.3269, nan
115, 15.1787, 1.23884, 0.0241483, 9.28354, 0.267768, 5.644, 0.421059, 52.3963, 4.1909
116, 10.5061, 0.853028, 0.0244074, 10.112, 0.420317, 2.547, 1.36696, 25.7553, 13.8641
116, 14.4052, 2.43624, 0.041466, 4.61467, 0.114548, 4.316, 0.846, 19.9169, nan
117, 13.4872, 1.08808, 0.0300242, 25.2511, 1.05517, 2.044, 0.636036, 51.6132, 16.2048
118, 13.9291, 1.09596, 0.0291585, 61.6433, 2.75726, 4.306, 0.0355825, 265.436, 12.0737
293, 11.3746, 0.352575, 0.0210048, 83.175, 8.86713, 8.725, 1.76726, 725.702, 166.109
317, 11.8762, 0.521039, 0.0616694, 5.28486, 0.921088, 11.301, 2.34103, 59.7242, 16.1684
317, 13.8423, 0.420769, 0.0265357, 20.5353, 2.71232, 7.858, 1.16829, 161.366, 32.0911
317, 13.8422, 0.457078, 0.0455444, 24.4831, 3.78669, 8.379, 1.57156, 205.144, 49.8714
317, 12.0824, 0.346876, 0.0950294, 39.6653, 14.1018, 12.419, 2.46927, 492.603, 200.658
317, 12.8109, 0.940351, 0.0315465, 9.35391, 0.594921, 5.707, 0.732405, 53.3828, 7.64602
317, 14.0484, 0.590076, 0.0497339, 19.4416, 3.1845, 6.6155, 0.5923, 128.616, 24.0088
317, 14.0485, 0.585877, 0.0318093, 29.3392, 2.4401, 6.74, 0.773918, 197.746, 28.0366
317, 11.4355, 0.414435, 0.0228284, 21.2248, 1.75079, 9.941, 2.3603, 210.996, 53.0342
317, 12.7978, 0.51098, 0.018384, 26.96, 1.80802, 6.749, 0.705719, 181.953, 22.6029
317, 13.8403, 0.574612, 0.0163501, 69.569, 3.40742, 7.85, 1.35806, 546.117, 98.1925
317, 12.9053, 0.695067, 0.0393998, 3.66595, 0.313, 8.489, 1.56933, 31.1202, 6.33704
317, 12.4569, 1.14158, 0.0619613, 2.46289, 0.195165, 8.842, 0.382511, 21.7769, 1.96606
317, 10.2942, 1.17026, 0.0646823, 2.87708, 0.231353, 8.852, 0.833222, 25.4679, 3.15291
317, 13.3364, 1.37046, 0.0519747, 7.97411, 0.444579, 9.241, 0.593041, 73.6888, 6.26432
322, 11.1643, 1.264, 2.96055, 0.586277, 0.920375, 9.483, 0.299, 5.55966, nan
322, 11.0966, 0.534948, 0.0508409, 9.10794, 1.26182, 8.688, 1.43368, 79.1298, 17.0496
341, 10.4829, 0.288854, 0.019641, 66.125, 7.66116, 13.068, 2.57676, 864.121, 197.624
341, 11.9381, 0.695486, 0.084069, 9.64893, 2.20886, 8.572, 1.46185, 82.7106, 23.6108
341, 11.9381, 0.67319, 0.048244, 7.54803, 0.818987, 9.613, 0.68348, 72.5592, 9.41262
341, 11.3419, 1.10619, 0.0555423, 7.92877, 0.710668, 11.0155, 0.579697, 87.3394, 9.07795
341, 13.1607, 0.642218, 0.0593644, 7.96606, 1.20775, 6.9835, 0.492224, 55.631, 9.30122
341, 13.8413, 0.655242, 0.0284048, 15.7406, 1.02541, 7.1485, 0.411422, 112.522, 9.7811
341, 12.362, 0.565747, 0.026922, 37.5661, 2.90616, 8.96, 1.89625, 336.592, 75.8447
341, 13.3573, 1.27009, 0.0577511, 2.72714, 0.182385, 6.2715, 0.550045, 17.1033, 1.8864
341, 12.157, 1.05156, 0.0441098, 10.5298, 0.657647, 7.426, 0.815431, 78.1943, 9.87803
341, 11.3416, 1.10371, 0.0507488, 11.7803, 0.796781, 9.815, 1.61455, 115.624, 20.5649
369, 13.7091, 0.685993, 0.0394388, 5.61122, 0.473656, 11.109, 0.849531, 62.335, 7.10003
369, 13.4135, 0.770598, 0.0382049, 9.78807, 0.714488, 7.5045, 0.422542, 73.4546, 6.77164
369, 11.8928, 0.877709, 0.055994, 4.78946, 0.444457, 15.489, 1.25576, 74.1839, 9.14142
369, 13.5473, 2.28599, 0.0458172, 5.85875, 0.175034, 5.9495, 0.230545, 34.8566, 1.70553
370, 14.7106, 0.653163, 0.0336571, 5.51358, 0.413747, 5.632, 0.879183, 31.0525, 5.37845
370, 10.1125, 0.804751, 0.0485892, 9.33334, 0.819219, 12.006, 1.63605, 112.056, 18.1633
375, 10.6621, 1.12586, 0.0808005, 6.95093, 0.735256, 11.991, 2.40107, 83.3486, 18.8753
375, 15.2086, 1.56024, 0.036782, 8.31181, 0.287557, 12.311, 2.15126, 102.327, 18.2279
390, 13.2545, 0.87245, 0.0829222, 10.549, 1.47222, 8.078, 1.30914, 85.2148, 18.2251
390, 12.2573, 0.911851, 0.0476087, 10.0565, 0.773938, 9.281, 1.34027, 93.3344, 15.2729
390, 12.0877, 2.54623, 0.322037, 1.13319, 0.171825, 7.794, 0.0177912, 8.83208, 1.33936
390, 11.8695, 2.63569, 0.10293, 3.91639, 0.227663, 9.674, 1.91256, 37.8872, 7.8074
396, 12.015, 0.911512, 0.522661, 0.822083, 0.476088, 9.7075, 1.99484, 7.98037, 4.90395
396, 10.7513, 0.710961, 0.0325419, 12.8464, 0.860542, 8.413, 1.30024, 108.077, 18.2049
412, 10.909, 1.94872, 0.0590506, 4.02689, 0.182157, 9.031, 0.454418, 36.3668, 2.46063
412, 9.32888, 2.14192, 0.0462398, 1.94548, 0.0618706, 5.614, 0.928109, 10.9219, 1.83872
412, 11.5418, 2.33928, 0.0634302, 9.4258, 0.378452, 8.278, 0.966657, 78.0268, 9.63505
425, 11.7254, 0.42701, 0.0217503, 52.8592, 4.71646, 9.116, 1.45295, 481.864, 88.0176
