# srt_ind, vortex_number, sols, DeltaP, Gamma, pressure_scatter, dpdt_scatter, pressure_outlier_time, dpdt_outlier_time
650, 4, 254, 3.37482, 9.75253, 0.495738, 0.0220166, -2.32, -14.32
172, 0, 65, 3.36965, 16.9639, 1.44937, 0.00630106, nan, -39.84
403, 4, 177, 3.36149, 2.38932, 0.202444, 0.0149743, -1.44, -472.44
174, 2, 65, 3.34909, 16.2838, 1.36741, 0.00630106, nan, -39.84
1293, 4, 453, 3.34242, 2.13431, 0.134698, 0.018829, -1.92, -3.92
705, 3, 286, 3.30189, 3.49879, 0.274124, 0.0186437, -1.08, -124.08
1264, 8, 435, 3.28736, 1.34341, 0.370884, 0.0185325, 3.14628e-09, -82
333, 4, 148, 3.22768, 7.49693, 0.209994, 0.0108971, -138.64, -440.64
330, 1, 148, 3.22302, 7.34667, 0.204183, 0.0108971, -138.64, -440.64
387, 3, 171, 3.20594, 3.78035, 0.420949, 0.0167163, -1.36, -492.36
617, 2, 241, 3.17754, 7.2054, 0.298629, 0.0167534, -4.72, -10.72
447, 3, 196, 3.15318, 1.13133, 1.44922, 0.016531, nan, -1.96
122, 0, 44, 3.1434, 10.6932, 0.163482, 0.0116384, -9.84, -16.84
1195, 10, 411, 3.13604, 3.83423, 0.295863, 0.0171611, -1.4, -6.4
714, 1, 289, 3.10732, 3.71887, 0.146217, 0.0151967, -3.08, -499.08
1161, 1, 402, 3.10554, 7.2677, 0.142946, 0.0136029, -5.88, -343.88
380, 7, 168, 3.10389, 4.52225, 0.318697, 0.0121573, -1.4, -57.4
1160, 0, 402, 3.10348, 7.11535, 0.158002, 0.0136029, -4.88, -343.88
1028, 6, 364, 3.08328, 22.5971, 1.19126, 0.0126021, nan, -459.76
318, 13, 138, 3.0829, 24.0542, 0.0544563, 0.00856203, -47.36, -119.36
450, 2, 197, 3.07836, 2.46897, 0.0813523, 0.00926626, -3.24, -489.24
419, 3, 187, 3.07541, 5.90609, 0.456295, 0.0161604, -0.56, -8.56
959, 3, 346, 3.06008, 31.2276, 6.51603, 0.0103041, nan, -76.36
748, 9, 297, 3.037, 12.6298, 0.119256, 0.0211271, -24.72, -195.72
746, 7, 297, 3.03448, 10.6847, 3.78774, 0.021053, nan, -196.08
747, 8, 297, 3.01748, 10.3985, 3.93284, 0.021053, nan, -196.08
102, 6, 38, 2.99367, 4.79195, 0.291284, 0.0181989, -1.6, -248.6
957, 1, 346, 2.98848, 29.9832, 4.10435, 0.010267, nan, -75.28
312, 7, 138, 2.95804, 21.7678, 2.74542, 0.00856203, nan, -120.08
1328, 2, 466, 2.95461, 8.98875, 0.295132, 0.00841377, -4.04, -62.04
893, 7, 330, 2.94616, 20.7085, 0.0872213, 0.0143442, -24.08, -225.08
958, 2, 346, 2.94202, 39.5617, 6.16199, 0.0103041, nan, -72.76
1029, 7, 364, 2.89759, 20.8379, 0.189238, 0.0126021, -26.4, -459.4
315, 10, 138, 2.888, 20.6331, 3.17528, 0.00856203, nan, -120.08
129, 2, 49, 2.88602, 3.34363, 0.328587, 0.0098593, -0.48, -7.48
154, 0, 57, 2.86873, 12.584, 0.860651, 0.00926626, nan, -499.64
77, 10, 29, 2.86074, 4.06999, 0.139451, 0.0118238, -4.2, -489.2
316, 11, 138, 2.86066, 20.0444, 3.05296, 0.00856203, nan, -120.08
155, 1, 57, 2.85631, 12.4347, 0.834126, 0.00926626, nan, -499.64
892, 6, 330, 2.82247, 22.0556, 4.45972, 0.0143442, nan, -226.16
157, 3, 57, 2.8175, 12.4717, 0.158885, 0.00926626, -9.64, -499.64
812, 6, 309, 2.80811, 1.83588, 0.794606, 0.0141959, nan, -484.52
887, 1, 330, 2.80721, 26.1468, 1.46144, 0.0143442, nan, -224.72
1308, 0, 458, 2.80149, 0.979393, 1.00305, 0.010823, nan, -2
59, 1, 26, 2.79772, 7.85347, 0.207039, 0.0154191, -4.48, -283.48
408, 1, 179, 2.79248, 8.0231, 0.174713, 0.021053, -5.08, -7.08
888, 2, 330, 2.7868, 27.4603, 1.92749, 0.0143442, nan, -224.72
141, 9, 52, 2.7789, 6.83452, 0.0700415, 0.00607867, -9.52, -459.52
156, 2, 57, 2.77859, 11.2359, 0.916255, 0.00926626, nan, -499.64
317, 12, 138, 2.73233, 18.541, 0.522778, 0.00856203, -5.72, -119.72
1139, 4, 394, 2.65742, 3.75592, 0.259266, 0.026761, -1.64, -232.64
1431, 3, 390, 2.63569, 3.91639, 0.133036, 0.0190514, -4.2, -401.2
844, 6, 315, 2.62395, 1.49787, 0.262334, 0.0183101, -0.68, -3.68
1274, 1, 443, 2.62074, 1.69711, 0.74308, 0.0274652, nan, -2.608
1184, 1, 410, 2.61974, 1.42639, 0.464035, 0.0152708, nan, -129.64
1359, 0, 472, 2.61809, 6.5871, 0.846567, 0.0164569, nan, -6.24
1380, 1, 105, 2.60896, 9.92135, 0.110493, 0.00737595, -10.88, -15.88
1442, 0, 105, 2.60572, 10.2614, 0.100355, 0.00737595, -11.88, -15.88
1360, 1, 472, 2.60348, 6.30367, 0.0930298, 0.0164569, -8.24, -6.24
1342, 14, 467, 2.60298, 4.4574, 0.154332, 0.0163086, -2.44, -215.44
1379, 0, 105, 2.58419, 9.12913, 0.439266, 0.00737595, -1.88, -15.88
195, 2, 76, 2.57756, 15.3093, 1.58058, 0.00833964, nan, -18.4
350, 0, 158, 2.57688, 4.85623, 0.474542, 0.0132693, -0.64, -362.64
196, 3, 76, 2.57403, 14.28, 0.106384, 0.00833964, -10.4, -18.4
572, 2, 228, 2.55781, 6.46084, 0.137279, 0.014789, -6.44, -177.44
391, 1, 173, 2.55655, 1.15648, 0.373303, 0.0194962, 0.32, -3.68
194, 1, 76, 2.55426, 14.5429, 1.25135, 0.00833964, nan, -18.4
1430, 2, 390, 2.54623, 1.13319, 0.15551, 0.0214236, -0.72, -138.72
421, 1, 188, 2.54217, 2.17966, 0.122055, 0.0203117, -2.64, -3.64
9, 2, 15, 2.52988, 8.79073, 0.269117, 0.0127133, -3.8, -11.8
1348, 6, 468, 2.528, 18.9752, 0.114865, 0.0154932, -16.56, -400.56
74, 7, 29, 2.52684, 1.71253, 0.0917269, 0.00826551, -1.68, -5.68
351, 1, 158, 2.50517, 4.20674, 0.282885, 0.0132693, -1.64, -362.64
109, 6, 39, 2.48375, 2.63565, 0.0984691, 0.010823, -3.24, -369.24
643, 5, 252, 2.47429, 3.86369, 0.199013, 0.0207564, -1.92, -459.92
1229, 7, 422, 2.47312, 3.5818, 0.528013, 0.00900681, nan, -383.28
642, 4, 252, 2.46166, 26.1051, 0.338364, 0.0185325, -8.2, -19.2
1347, 5, 468, 2.45595, 15.2735, 0.346964, 0.0154932, -5.56, -400.56
1285, 0, 450, 2.45409, 17.6893, 0.177264, 0.0157156, -10.08, -326.08
713, 0, 289, 2.45354, 3.19741, 0.292633, 0.0229433, -0.88, -3.88
341, 0, 155, 2.44909, 2.55247, 0.0884589, 0.00822844, -2.4, -9.4
896, 2, 331, 2.44526, 10.152, 0.153679, 0.0184213, -7.12, -313.12
1390, 2, 116, 2.43624, 4.61467, 0.38601, 0.00778366, -0.72, -88.72
1156, 3, 400, 2.43244, 0.961922, 0.433061, 0.0237587, nan, -2.7
1050, 4, 367, 2.42595, 1.75813, 0.151358, 0.0154191, -43.56, -47.56
638, 0, 252, 2.42591, 19.3797, 0.735131, 0.0185696, nan, -18.84
640, 2, 252, 2.42182, 18.8327, 0.431747, 0.0185325, -2.2, -19.2
851, 6, 316, 2.42151, 3.83992, 0.363103, 0.025056, -0.32, -5.32
1353, 4, 469, 2.41366, 7.59494, 0.172436, 0.0112307, -4.8, -17.8
358, 1, 162, 2.38387, 7.36254, 0.0564584, 0.00956278, -29.56, -387.56
1235, 3, 427, 2.3643, 28.6631, 0.172859, 0.0116014, -13.68, -14.68
605, 1, 237, 2.3568, 2.80937, 0.210893, 0.00956278, -1.32, -4.32
1174, 5, 407, 2.33997, 3.51476, 0.722735, 0.014789, nan, -290.2
1436, 2, 412, 2.33928, 9.4258, 0.123842, 0.0170499, -84.48, -337.48
467, 2, 203, 2.32974, 5.53476, 1.37582, 0.0223873, nan, -470.36
469, 4, 203, 2.3281, 5.45777, 0.154941, 0.0223873, -3.36, -470.36
1205, 0, 416, 2.32708, 0.515061, 1.59802, 0.0161233, nan, -311.6
388, 0, 172, 2.32461, 3.00821, 0.0646743, 0.0100817, -3.92, -394.92
410, 1, 180, 2.32029, 11.9854, 1.15784, 0.0124539, nan, -199.76
1086, 3, 381, 2.3134, 0.703626, 1.80228, 0.0194592, nan, -35.6
1281, 0, 447, 2.29632, 7.7026, 0.198062, 0.00822844, -4.04, -10.04
1387, 1, 115, 2.29208, 3.85067, 0.0483263, 0.00667171, -4.44, -383.44
428, 1, 192, 2.29124, 0.726537, 0.322128, 0.0230545, nan, -1.772
1423, 3, 369, 2.28599, 5.85875, 0.599994, 0.0163828, nan, -6.28
411, 2, 180, 2.27745, 11.1304, 0.138637, 0.0124909, -8.12, -200.12
240, 11, 91, 2.2739, 60.0254, 0.0833947, 0.00652345, -55.16, -48.16
1282, 1, 447, 2.27081, 7.2437, 0.15786, 0.00822844, -4.04, -10.04
1352, 3, 469, 2.26923, 15.6712, 0.20924, 0.0141589, -8.88, -15.88
836, 6, 313, 2.26771, 2.01543, 0.977133, 0.0239811, nan, -2.12
581, 4, 230, 2.26759, 8.35778, 0.196957, 0.0212753, -291, -294
630, 2, 248, 2.26016, 13.0256, 0.154635, 0.0187179, -8.64, -21.64
1280, 1, 446, 2.25946, 0.858212, 0.125567, 0.00637519, -0.28, -257.28
818, 5, 310, 2.25767, 0.656741, 1.73408, 0.0261679, nan, -498.56
276, 7, 129, 2.25646, 70.9581, 0.239449, 0.00685704, -42.84, -497.84
787, 2, 303, 2.25044, 4.84195, 0.11688, 0.0221278, -492.52, -463.52
718, 3, 290, 2.24974, 3.65178, 0.079825, 0.0144924, -5.84, -10.84
348, 6, 156, 2.24908, 9.27493, 0.0507051, 0.00533737, -16.92, -253.92
869, 3, 324, 2.23813, 10.8073, 1.10101, 0.0172723, nan, -58.16
457, 1, 200, 2.23764, 1.05286, 1.83551, 0.0127874, nan, -87.36
347, 5, 156, 2.23013, 8.77851, 1.09146, 0.00533737, nan, -253.92
507, 6, 210, 2.22594, 1.78268, 0.546159, 0.0151596, nan, -3.6
1349, 0, 469, 2.21262, 12.8101, 0.270162, 0.0141589, -6.88, -15.88
453, 3, 198, 2.21046, 4.19206, 0.399554, 0.0168275, -0.12, -7.12
1350, 1, 469, 2.20791, 12.5992, 0.439457, 0.0141589, 1.76, -16.24
1351, 2, 469, 2.20732, 12.622, 0.804961, 0.0141589, nan, -16.24
628, 0, 248, 2.2066, 12.4485, 0.543287, 0.0187179, nan, -21.64
870, 4, 324, 2.20567, 11.0419, 0.150478, 0.017087, -6.8, -57.8
