# Gamma_obs
# bin_edges, histogram
-0.299136, 9
-0.178375, 11
-0.0576128, 33
0.0631489, 48
0.183911, 76
0.304672, 82
0.425434, 75
0.546196, 103
0.666957, 104
0.787719, 127
0.908481, 119
1.02924, 130
1.15, 162
1.27077, 120
1.39153, 102
1.51229, 68
1.63305, 35
1.75381, 22
1.87457, 12
1.99534, 
