sol, median_wind, 0_median_wind, 0_hour_fraction, 1_median_wind, 1_hour_fraction, 2_median_wind, 2_hour_fraction, 3_median_wind, 3_hour_fraction, 4_median_wind, 4_hour_fraction, 5_median_wind, 5_hour_fraction, 6_median_wind, 6_hour_fraction, 7_median_wind, 7_hour_fraction, 8_median_wind, 8_hour_fraction, 9_median_wind, 9_hour_fraction, 10_median_wind, 10_hour_fraction, 11_median_wind, 11_hour_fraction, 12_median_wind, 12_hour_fraction, 13_median_wind, 13_hour_fraction, 14_median_wind, 14_hour_fraction, 15_median_wind, 15_hour_fraction, 16_median_wind, 16_hour_fraction, 17_median_wind, 17_hour_fraction, 18_median_wind, 18_hour_fraction, 19_median_wind, 19_hour_fraction, 20_median_wind, 20_hour_fraction, 21_median_wind, 21_hour_fraction, 22_median_wind, 22_hour_fraction, 23_median_wind, 23_hour_fraction
191, 3.626, 3.506, 0.999444, 3.61, 0.999444, 3.584, 0.999444, 3.355, 0.999722, 2.112, 0.999444, 1.551, 0.999444, 3.497, 0.999444, 4.354, 0.999444, 6.98, 0.999444, 8.613, 0.999444, 9.809, 0.999167, 10.679, 0.999444, 8.574, 0.999444, 7.329, 0.999444, 8.72, 0.999444, 8.374, 0.999444, 6.535, 0.999444, 0.443, 0.988056, 2.443, 0.988056, 2.4785, 0.999444, 2.9835, 0.999444, 3.05, 0.999444, 3.39, 0.999444, 3.149, 0.999167
192, 3.643, 3.634, 0.999444, 3.722, 0.999444, 3.581, 0.999444, 3.11, 0.999444, 2.253, 0.999444, 1.554, 0.999444, 2.386, 0.999444, 4.394, 0.999722, 7.0805, 0.999444, 8.3655, 0.999444, 9.9, 0.999444, 9.22, 0.999444, 7.3825, 0.999444, 7.18, 0.999444, 7.617, 0.999167, 7.81, 0.999444, 6.0445, 0.999444, 0.489, 0.997778, 2.345, 0.998889, 1.892, 0.998889, 2.3205, 0.998889, 2.8845, 0.999722, 3.323, 0.999444, 3.328, 0.999444
193, 3.582, 3.56, 0.999444, 3.523, 0.999444, 3.599, 0.999444, 3.134, 0.999444, 3.304, 0.999167, 2.724, 0.999444, 1.976, 0.999444, 3.9425, 0.999444, 5.6865, 0.999444, 7.683, 0.999444, 10.4535, 0.999444, 9.762, 0.999722, 9.027, 0.999444, 7.9385, 0.999444, 8.054, 0.999444, 7.957, 0.999444, 5.467, 0.989722, 0.451, 0.982778, 2.2355, 0.999167, 1.961, 0.998056, 1.9405, 0.999444, 2.492, 0.999444, 3.287, 0.999444, 3.166, 0.999722
194, 3.653, 3.522, 0.999444, 3.582, 0.999444, 3.391, 0.999722, 3.777, 0.999444, 3.886, 0.999444, 1.531, 0.999444, 1.625, 0.999444, 3.7425, 0.999444, 7.3, 0.999167, 8.792, 0.999444, 11.342, 0.999444, 10.5985, 0.999444, 9.0015, 0.999444, 8.5, 0.999444, 7.659, 0.999722, 8.828, 0.999444, 6.29, 0.997222, 0.4705, 0.969722, 1.98, 0.999444, 1.81, 0.999444, 2.055, 0.999444, 2.58, 0.999167, 3.126, 0.999444, 3.074, 0.999444
195, 3.56, 3.504, 0.999444, 3.591, 0.999444, 3.39, 0.999444, 3.376, 0.999444, 1.959, 0.999722, 1.79, 0.998889, 2.366, 0.999444, 4.2975, 0.999444, 7.068, 0.999444, 8.814, 0.999167, 10.117, 0.998889, 9.304, 0.999722, 8.3405, 0.999444, 7.346, 0.999444, 8.055, 0.999444, 8.386, 0.999444, 6.21, 0.999167, 0.636, 0.985833, 1.9315, 0.998611, 1.3295, 0.9975, 2.172, 0.998889, 3.164, 0.999444, 3.233, 0.999444, 2.996, 0.999167
196, 3.651, 3.78, 0.999444, 4.029, 0.999167, 3.293, 0.999444, 3.207, 0.999722, 1.446, 0.999444, 1.451, 0.999167, 3.596, 0.999444, 4.81, 0.999722, 6.283, 0.999444, 8.279, 0.999167, 10.259, 0.999444, 8.249, 0.999444, 7.473, 0.999444, 6.601, 0.999444, 7.591, 0.999444, 6.382, 0.999444, 4.036, 0.999444, 0.9485, 0.995556, 2.404, 0.998889, 2.151, 0.999444, 2.081, 0.999444, 2.726, 0.999722, 2.872, 0.999444, 3.178, 0.999444
197, 3.641, 3.562, 0.999444, 3.636, 0.999444, 3.671, 0.999444, 3.739, 0.999444, 2.638, 0.999722, 1.852, 0.999444, 2.01, 0.999167, 3.7825, 0.999444, 5.644, 0.999444, 7.484, 0.999444, 9.6525, 0.999444, 9.658, 0.999444, 8.051, 0.999444, 7.63, 0.999722, 6.976, 0.999444, 7.538, 0.999444, 6.248, 0.9975, 0.489, 0.996667, 2.3975, 0.990278, 2.143, 0.997778, 2.033, 0.998889, 2.021, 0.999444, 3.151, 0.999444, 3.505, 0.999722
198, 3.604, 3.573, 0.999444, 3.753, 0.999444, 3.43, 0.999444, 3.59, 0.999444, 2.763, 0.999444, 1.779, 0.998889, 2.136, 0.999444, 3.964, 0.999444, 5.515, 0.999444, 7.3055, 0.999444, 8.957, 0.999722, 8.3425, 0.999444, 7.752, 0.999444, 7.598, 0.999444, 7.346, 0.999444, 7.187, 0.999444, 6.23, 0.998333, 0.4585, 0.994444, 2.236, 0.999444, 2.127, 0.999444, 2.211, 0.999444, 2.136, 0.999444, 3.087, 0.999444, 2.907, 0.999722
199, 3.629, 3.668, 0.999444, 3.609, 0.999444, 3.5385, 0.999444, 3.626, 0.999444, 3.143, 0.97, 1.541, 0.998333, 1.716, 0.999444, 4.326, 0.999444, 5.85, 0.999444, 7.519, 0.999444, 9.227, 0.999722, 8.463, 0.999444, 7.595, 0.999444, 7.4585, 0.999444, 7.2865, 0.999444, 7.921, 0.999444, 5.9425, 0.995, 0.48, 0.9875, 2.298, 0.993889, 2.172, 0.999444, 2.317, 0.999444, 2.604, 0.999444, 2.842, 0.999444, 2.913, 0.999722
200, 3.618, 3.52, 0.999444, 3.599, 0.999444, 3.507, 0.999444, 3.691, 0.999444, 3.429, 0.999444, 1.652, 0.999444, 1.884, 0.999444, 4.446, 0.999444, 5.6935, 0.999444, 7.6495, 0.999444, 9.563, 0.999722, 8.675, 0.999444, 7.2915, 0.999444, 7.827, 0.999444, 7.07, 0.999444, 7.619, 0.999444, 5.804, 0.981667, 0.6535, 0.984444, 2.169, 0.997222, 1.982, 0.999444, 2.049, 0.999444, 2.296, 0.999444, 2.923, 0.999722, 2.738, 0.999444
