_DROP_ ; _LTST_ ; SOL ; YYYY-MM-DDTHH:MM:SS.sss ; RATIO
-2.673 ; 11.490 ; 288 ; 2019-261T14:49:42.213Z ; 1.000
-2.658 ; 12.577 ; 331 ; 2019-305T20:12:23.054Z ; 1.000
-2.655 ; 13.313 ; 038 ; 2019-004T20:48:27.450Z ; 1.000
-2.626 ; 12.207 ; 315 ; 2019-289T09:18:25.000Z ; 0.912
-2.606 ; 12.212 ; 203 ; 2019-174T07:51:44.976Z ; 1.000
-2.574 ; 11.784 ; 208 ; 2019-179T10:41:35.535Z ; 1.000
-2.572 ; 12.610 ; 230 ; 2019-202T01:56:24.443Z ; 1.000
-2.550 ; 10.496 ; 289 ; 2019-262T14:27:52.676Z ; 1.000
-2.548 ; 15.634 ; 237 ; 2019-209T09:37:51.092Z ; 1.000
-2.537 ;  9.876 ; 339 ; 2019-313T22:41:30.096Z ; 1.000
-2.534 ; 11.662 ; 399 ; 2020-010T15:58:08.772Z ; 1.000
-2.507 ; 13.032 ; 172 ; 2019-142T12:26:21.838Z ; 1.000
-2.504 ; 13.467 ; 290 ; 2019-263T18:10:25.923Z ; 1.000
-2.498 ; 13.053 ; 252 ; 2019-224T16:48:33.741Z ; 1.000
-2.474 ; 14.141 ; 076 ; 2019-043T22:43:50.408Z ; 0.758
-2.472 ; 14.405 ; 116 ; 2019-085T01:14:15.588Z ; 1.000
-2.467 ; 11.594 ; 303 ; 2019-277T00:47:25.230Z ; 1.000
-2.461 ; 12.875 ; 158 ; 2019-128T03:07:43.977Z ; 1.000
-2.456 ; 13.053 ; 039 ; 2019-005T21:12:09.063Z ; 1.000
-2.433 ; 15.453 ; 039 ; 2019-005T23:40:07.945Z ; 1.000
-2.421 ; 14.126 ; 210 ; 2019-181T14:24:24.536Z ; 1.000
-2.416 ; 10.350 ; 313 ; 2019-287T06:05:03.450Z ; 1.000
-2.414 ; 13.067 ; 377 ; 2019-353T02:57:11.633Z ; 0.999
-2.384 ; 13.932 ; 364 ; 2019-339T19:17:45.146Z ; 1.000
-2.375 ; 13.881 ; 309 ; 2019-283T07:04:59.596Z ; 1.000
-2.365 ; 10.462 ; 212 ; 2019-183T11:57:06.594Z ; 1.000
-2.345 ;  9.883 ; 400 ; 2020-011T14:47:54.290Z ; 1.000
-2.335 ; 13.809 ; 162 ; 2019-132T06:42:10.930Z ; 1.000
-2.332 ; 10.548 ; 268 ; 2019-241T00:43:51.882Z ; 1.000
-2.318 ; 11.247 ; 198 ; 2019-169T03:36:01.846Z ; 1.000
-2.311 ; 12.631 ; 348 ; 2019-323T07:26:24.825Z ; 1.000
-2.306 ; 11.517 ; 193 ; 2019-164T00:36:32.724Z ; 1.000
-2.301 ; 13.547 ; 369 ; 2019-344T22:11:15.799Z ; 0.915
-2.297 ; 13.463 ; 091 ; 2019-059T07:53:10.680Z ; 1.000
-2.296 ; 12.517 ; 366 ; 2019-341T19:09:24.986Z ; 0.993
-2.291 ; 13.283 ; 238 ; 2019-210T07:52:14.276Z ; 1.000
