# srt_ind, vortex_number, sols, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, slope, slope_unc, intercept, intercept_unc, U, U_unc, Diameter, Diameter_unc, full_Vobs, full_Vobs_unc, full_b, full_b_unc, full_Pact, full_Pact_unc, full_Vact, full_Vact_unc, full_Dact, full_Dact_unc, full_Vobs_sigma
19, 2, 19, 11.3527, 8.03825e-05, 1.36348, 0.0325117, 24.2616, 0.873657, -7.04253, 0.0851887, 741.635, 0.00469905, 9.455, 2.21789, 229.393, 54.4399, -22.6139, 3.32682, -146.816, 43.6676, -4.34173, 1.71069, nan, nan, nan, nan, 6.79746
20, 3, 19, 9.93822, 1.8562e-05, 2.12163, 0.052638, 5.38641, 0.198336, -6.52401, 0.395389, 749.611, 0.00627922, 7.896, 1.22307, 42.5311, 6.77154, -16.8919, 2.86597, -20.4581, 4.27559, 4.05082, 0.682177, 16.911, 1.42395, 30.7801, 10.9477, 5.89395
21, 4, 19, 13.7052, 1.29546e-05, 5.04068, 0.115455, 4.07097, 0.139298, 5.74363, 1.38533, 726.55, 0.014855, 10.2385, 0.881495, 41.6806, 3.86156, -16.7001, 7.69221, -16.3902, 9.2421, 6.22244, 1.10279, 21.2883, 1.88643, 37.5144, 9.14476, 2.17104
22, 5, 19, 14.1304, 3.20771e-05, 5.17548, 0.0802536, 14.8905, 0.344472, -4.08232, 0.253602, 723.947, 0.0101736, 8.2245, 1.98778, 122.467, 29.7344, -25.8705, 2.94896, -65.4834, 9.93655, 9.27943, 0.970532, 26.0447, 1.362, 91.4606, 42.2809, 8.77274
23, 1, 20, 12.0849, 0.00022199, 1.59297, 0.0449297, 56.446, 2.63677, -6.63784, 0.180268, 732.99, 0.0118575, 5.7925, 1.79008, 326.963, 102.191, -17.1489, 1.18053, -175.233, 18.5572, 4.39406, 0.515363, 17.8363, 1.04598, 196.865, 172.909, 14.5264
24, 2, 20, 11.432, 9.72724e-05, 1.2263, 0.0866608, 9.91, 1.02163, -3.85179, 0.18512, 737.144, 0.00806119, 3.82, 1.03489, 37.8562, 10.9732, -10.366, 1.97714, -16.8661, 3.83261, 1.76287, 0.271971, 11.2639, 0.868885, 31.5737, 13.7791, 5.24292
25, 0, 21, 12.0258, 2.11743e-05, 1.25834, 0.0698282, 2.31872, 0.185936, 5.24454, 1.05393, 740.533, 0.00822573, 5.774, inf, 13.3883, inf, -4.42435e-07, 5.7123, -1.86913e-07, 2.41324, 1.25834, 0.0698282, 9.48522, 0.263178, 13.3883, inf, 7.7453e-08
26, 1, 21, 11.523, 1.6865e-05, 2.14501, 0.0953781, 1.59629, 0.108512, 1.563, 2.45271, 743.84, 0.0128201, 9.764, inf, 15.5862, inf, 5.61374, 19.5356, -4.25711, 31.9047, 2.26169, 0.818992, 12.6893, 2.2975, 15.1788, inf, 0.287359
27, 0, 24, 13.6715, 9.71487e-05, 1.07128, 0.0405745, 18.4354, 1.10573, -1.10255, 0.307519, 724.872, 0.0083022, 7.312, 1.69439, 134.8, 32.2662, -15.5748, 3.00376, -64.3195, 13.9739, 5.08824, 1.7996, 19.1011, 3.37783, 61.8525, 76.0891, 5.18509
28, 1, 24, 13.0527, 0.000172921, 1.55869, 0.0276457, 69.7546, 2.13019, -3.08391, 0.123616, 727.252, 0.00867579, 6.925, 3.16247, 483.051, 221.089, -15.2965, 2.14098, -231.205, 45.5756, 3.28146, 0.497579, 15.3156, 1.16118, 332.92, 326.976, 7.1446
29, 2, 24, 14.5129, 0.000134863, 0.630898, 0.051817, 11.819, 1.45473, -3.91231, 0.232304, 720.328, 0.00691266, 9.036, 1.92152, 106.796, 26.2403, -20.082, 3.02004, -86.5109, 28.2829, -0.519526, 0.347794, nan, nan, nan, nan, 6.64958
30, 3, 24, 12.2374, 4.36308e-05, 3.48383, 0.057812, 18.9252, 0.470038, -5.0545, 0.156674, 732.339, 0.00759088, 3.476, 1.30021, 65.784, 24.661, -25.0618, 2.62322, -63.5009, 13.1032, 9.54128, 1.34016, 26.0265, 1.82783, 39.7508, 58.4655, 9.55383
31, 0, 25, 11.6173, 0.000201196, 0.544519, 0.0109846, 71.3357, 2.48875, -5.83983, 0.0496659, 734.018, 0.0037041, 2.652, 1.32656, 189.182, 94.8613, 1.1438, 1.23258, -67268.2, 5.64124e+10, 0.549147, 0.0149765, 6.25628, 0.0853115, 188.383, 4.02877e+13, 0.927971
32, 2, 25, 15.4737, 0.000243022, 0.354379, 0.0156358, 39.5935, 2.75516, -5.21182, 0.0524004, 715.554, 0.00336606, 6.591, 1.79067, 260.961, 73.1876, -18.0406, 1.37537, -245.089, 41.6214, -0.165539, 0.0793478, nan, nan, nan, nan, 13.1169
33, 0, 26, 12.7358, 2.542e-05, 3.64137, 0.116438, 5.7226, 0.270367, 0.387681, 0.715432, 733.692, 0.0131395, 10.928, 3.2759, 62.5366, 18.9781, -31.1852, 1.99098, -34.5069, 3.47786, 47.6938, 20.7519, 58.7169, 12.7741, 17.2797, 70.0738, 15.6633
34, 1, 26, 11.1918, 1.9871e-05, 2.79772, 0.0509591, 7.85347, 0.211999, -8.93221, 0.251602, 744.658, 0.0059794, 6.4925, 1.18555, 50.9887, 9.41189, -30.8027, 1.12562, -31.8577, 2.30071, -14.6881, 1.89896, nan, nan, nan, nan, 27.365
35, 2, 26, 13.7814, 1.73456e-05, 4.36852, 0.153557, 3.50417, 0.181884, -3.91005, 1.72109, 729.021, 0.0181645, 7.244, 1.01631, 25.3842, 3.79722, -24.1756, 2.95695, -12.4317, 1.87429, 8.08703, 1.05088, 24.2541, 1.57587, 18.6568, 5.73859, 8.17586
36, 0, 27, 11.6149, 3.48939e-05, 0.827084, 0.0290983, 7.14055, 0.367793, -4.97145, 0.101373, 731.295, 0.0028786, 5.8865, 0.981669, 42.0328, 7.33639, -17.8345, 1.49865, -19.8774, 2.66638, -2.51827, 0.623592, nan, nan, nan, nan, 11.9004
37, 2, 27, 12.4852, 6.34388e-05, 0.91806, 0.0423509, 9.9005, 0.67077, -4.66538, 0.121, 726.339, 0.00440242, 3.6435, 0.47982, 36.0725, 5.34226, -9.99825, 1.50827, -15.4138, 3.20599, 1.46554, 0.19731, 10.3341, 0.695655, 28.5504, 7.58569, 6.62898
38, 0, 28, 15.5075, 0.00012041, 0.570742, 0.177096, 1.42635, 0.686481, -15.1065, 1.54181, 719.157, 0.0155706, 6.2005, inf, 8.84408, inf, -28.3595, 5.72488, -5.87964, 2.43689, -0.150792, 0.291571, nan, nan, nan, nan, 4.95373
39, 1, 28, 15.6652, 0.000235107, 0.454839, 0.018192, 42.2175, 2.72, -3.49932, 0.0738125, 718.617, 0.00419338, 7.0845, 1.63245, 299.09, 71.5611, -16.7832, 1.63501, -114.834, 13.0165, -0.412953, 0.169743, nan, nan, nan, nan, 10.2649
40, 2, 28, 8.42766, 1.68715e-05, 0.686373, 0.122748, 1.48301, 0.34215, -4.55505, 0.0799122, 759.15, 0.00253748, 12.772, inf, 18.941, inf, 0.503167, 3.51019, -1314.78, 6.43957e+09, 0.687282, 0.123725, 6.92325, 0.623163, 18.9285, inf, 0.143345
41, 0, 29, 14.5276, 7.15012e-05, 0.535286, 0.069399, 3.96641, 0.736602, -5.6877, 0.102767, 715.726, 0.00408069, 5.6305, 1.95737, 22.3329, 8.8021, -26.4227, 9.34688, -22.6165, 14.9477, -0.15674, 0.489636, nan, nan, nan, nan, 2.8269
42, 1, 29, 12.0562, 2.22133e-05, 1.36342, 0.0704839, 3.16535, 0.240677, 2.1369, 0.526965, 729.411, 0.00678438, 3.549, 0.967346, 11.2338, 3.17889, -6.78816, 0.575931, -3.936, 0.351387, 1.54338, 0.0953403, 10.5754, 0.326641, 10.5586, 3.39231, 11.7864
43, 2, 29, 13.4367, 4.22988e-05, 1.01555, 0.0379143, 8.15669, 0.448074, -3.72695, 0.141176, 722.1, 0.00404443, 5.756, 1.20719, 46.9499, 10.1789, -24.8705, 2.54676, -38.4076, 6.96511, -0.940359, 0.401891, nan, nan, nan, nan, 9.76554
44, 3, 29, 15.5358, 9.34326e-05, 0.686643, 0.0146362, 31.5322, 1.03599, -6.27467, 0.0437419, 710.38, 0.00255911, 10.276, 1.66144, 324.025, 53.4595, -19.1848, 1.9362, -218.081, 54.9542, -0.857603, 0.312537, nan, nan, nan, nan, 9.90848
45, 4, 29, 10.2372, 4.38213e-05, 0.913956, 0.0399842, 7.21004, 0.471539, -4.46019, 0.275788, 740.369, 0.00518582, 7.23, 0.943474, 52.1286, 7.60899, -4.10305e-06, 5.2317, -1.1257e-05, 14.3535, 0.913956, 0.0399842, 8.07784, 0.176697, 52.1286, 7.60899, 7.84268e-07
