# srt_ind, vortex_number, sols, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, slope, slope_unc, intercept, intercept_unc, U, U_unc, Diameter, Diameter_unc, full_Vobs, full_Vobs_unc, full_b, full_b_unc, full_Pact, full_Pact_unc, full_Vact, full_Vact_unc, full_Dact, full_Dact_unc, full_Vobs_sigma
190, 0, 202, 12.8575, 5.43245e-05, 0.890919, 0.0549726, 6.33586, 0.592187, -5.30554, 0.588932, 753.004, 0.00811496, 8.511, 1.69084, 53.9245, 11.8393, -2.19704, 1.79528, -4.44606, 2.99995, 0.908679, 0.0641303, 7.93557, 0.280027, 53.3949, 11.9672, 1.22379
192, 1, 203, 12.9859, 0.000148414, 0.914097, 0.0417368, 23.3944, 1.60924, -4.26219, 0.107384, 753.401, 0.0058866, 7.8715, 1.38718, 184.149, 34.8369, -24.3701, 2.02066, -120.662, 18.7447, -0.684624, 0.266149, nan, nan, nan, nan, 12.0605
194, 3, 203, 12.2126, 2.00731e-05, 2.3281, 0.0616381, 5.45777, 0.214586, -4.995, 0.46609, 756.483, 0.00741146, 5.918, 0.899331, 32.2991, 5.06996, -22.9904, 1.31053, -20.5363, 1.77657, 12.8898, 2.24053, 29.881, 2.59699, 13.7267, 13.0604, 17.5428
195, 4, 203, 13.9061, 1.77194e-05, 1.96696, 0.0810027, 2.99815, 0.180498, 2.69898, 0.847333, 749.554, 0.00881876, 6.841, 0.950573, 20.5103, 3.10596, -18.4099, 5.44799, -11.8437, 6.53104, 5.12572, 1.94877, 18.9286, 3.59829, 12.7055, 13.168, 3.3792
196, 5, 203, 14.9341, 1.68522e-05, 1.78843, 0.0557641, 3.87727, 0.179932, -3.18973, 0.654089, 745.4, 0.00697605, 8.3975, 1.66915, 32.5594, 6.64579, -28.5525, 1.79627, -25.9588, 3.16509, -2.87956, 0.604867, nan, nan, nan, nan, 15.8954
197, 0, 204, 14.3694, 0.000236725, 0.880679, 0.0180159, 82.5932, 3.0185, -4.61403, 0.0878255, 747.789, 0.00668023, 7.3, 1.76597, 602.93, 147.513, -8.09686, 1.50446, -299.203, 49.4017, 1.1982, 0.122617, 9.17323, 0.469368, 516.906, 181.318, 5.38189
198, 1, 204, 15.1207, 0.000155061, 0.421004, 0.0161564, 29.0719, 1.70786, -3.89093, 0.0463619, 744.42, 0.00267686, 6.7855, 1.07129, 197.267, 33.2306, -24.5027, 2.3221, -192.774, 33.6876, -0.103838, 0.0994824, nan, nan, nan, nan, 10.552
199, 2, 204, 12.9058, 9.27403e-05, 0.828356, 0.038985, 14.1867, 0.980697, -3.26972, 0.0780863, 754.645, 0.00406158, 5.962, 0.97021, 84.5811, 14.9545, -12.8935, 4.43463, -54.7478, 31.6097, 2.97087, 1.55678, 14.3765, 3.76675, 44.6622, 82.5082, 2.90745
200, 3, 204, 12.412, 4.83576e-05, 0.999563, 0.0531859, 6.54147, 0.52207, -4.09311, 0.440339, 756.917, 0.00714098, 6.189, 1.03002, 40.4852, 7.47251, 0.109939, 3.79196, -0.289843, 10.2055, 0.999607, 0.0532754, 8.32702, 0.2219, 40.4843, 7.4741, 0.0289927
201, 4, 204, 14.0738, 5.67143e-05, 0.639258, 0.0439196, 5.94338, 0.594311, -6.27076, 0.139586, 748.827, 0.00392697, 6.507, 0.519415, 38.6736, 4.94825, -16.3692, 2.23037, -17.6263, 2.71995, -1.29251, 0.5562, nan, nan, nan, nan, 7.33922
202, 5, 204, 12.0985, 2.37322e-05, 1.22034, 0.0511861, 4.08797, 0.250421, -3.27972, 0.265311, 757.581, 0.00475426, 7.4265, 0.920935, 30.3593, 4.19905, -25.8297, 2.43792, -26.4935, 4.7007, -1.25535, 0.470459, nan, nan, nan, nan, 10.595
203, 6, 204, 13.6277, 6.49603e-05, 1.2688, 0.0316709, 18.7337, 0.695459, -6.38613, 0.0729052, 751.06, 0.00389709, 5.582, 0.570403, 104.572, 11.3691, -19.1686, 2.03781, -66.5403, 9.91637, -35.5429, 26.0564, nan, nan, nan, nan, 9.40649
205, 0, 205, 11.2711, 9.62554e-05, 0.891046, 0.0392736, 15.7184, 1.04102, -1.76756, 0.141418, 757.58, 0.00537068, 11.098, 2.18208, 174.443, 36.1924, -23.3024, 1.89216, -157.685, 31.7722, -0.738908, 0.26608, nan, nan, nan, nan, 12.3152
206, 0, 207, 11.2229, 0.000433134, 0.315173, 0.023084, 42.4116, 5.14745, -2.70978, 0.123672, 760.733, 0.00616252, 11.974, 1.29753, 507.836, 82.6273, -18.5121, 0.89127, -496.179, 68.8705, -0.106091, 0.040648, nan, nan, nan, nan, 20.7704
207, 0, 208, 11.3151, 2.93227e-05, 0.995048, 0.0438818, 4.78953, 0.311821, 4.7048, 0.310729, 757.474, 0.00488344, 7.0895, 2.38413, 33.9554, 11.6309, -23.5396, 7.88942, -21.4374, 9.56915, -0.947726, 1.30287, nan, nan, nan, nan, 2.98369
208, 1, 208, 11.7845, 8.96039e-06, 2.18179, 0.0571388, 2.3702, 0.0914864, -0.202143, 0.809664, 756.977, 0.00635502, 10.531, 1.65727, 24.9606, 4.04448, -9.38974, 115.441, 4.06502, 43.4953, 2.56276, 9.3679, 13.1971, 24.1204, 23.0307, 15.9676, 0.0813379
209, 0, 209, 14.0085, 5.40156e-05, 0.886816, 0.0270582, 12.7455, 0.568981, -5.26144, 0.0513699, 747.554, 0.00265942, 9.229, 2.16334, 117.628, 28.0684, -25.5115, 2.32186, -61.6721, 8.18131, -0.539092, 0.259742, nan, nan, nan, nan, 10.9876
210, 1, 209, 11.2285, 0.000119221, 0.869212, 0.0345998, 21.5579, 1.28624, -2.68312, 0.0854493, 757.469, 0.00462229, 11.2775, 1.71059, 243.119, 39.6272, -17.8573, 2.62702, -129.881, 28.0717, -2.55982, 1.05258, nan, nan, nan, nan, 6.79755
211, 0, 210, 15.2202, 0.000188398, 0.497717, 0.0122013, 55.1278, 2.22931, -3.88601, 0.0483513, 741.316, 0.00321358, 7.3325, 2.20926, 404.225, 122.884, -16.927, 1.68088, -177.595, 21.3461, -0.474989, 0.193502, nan, nan, nan, nan, 10.0703
212, 1, 210, 12.2676, 9.45963e-05, 1.86677, 0.236411, 5.45231, 1.12645, -5.93862, 2.86457, 757.016, 0.0691736, 9.604, 2.39228, 52.364, 16.9461, -27.4808, 1.40776, -24.2727, 1.73747, -3.97235, 1.22631, nan, nan, nan, nan, 19.5209
213, 2, 210, 12.2675, 6.33855e-05, 2.0206, 0.148046, 6.22765, 0.676856, 4.68574, 0.948934, 757.197, 0.0175662, 9.604, 2.25522, 59.8104, 15.4762, -28.099, 1.60694, -32.8795, 2.80915, -4.81238, 1.14717, nan, nan, nan, nan, 17.4861
214, 4, 210, 14.126, 7.75284e-06, 2.22594, 0.0691331, 1.78268, 0.0822489, -0.941124, 1.38699, 747.535, 0.00737705, 6.397, inf, 11.4038, inf, -31.8237, 1.71549, -12.8823, 1.24624, -3.52192, 0.643404, nan, nan, nan, nan, 18.5507
215, 0, 211, 15.8011, 6.22008e-05, 0.244181, 0.0185118, 5.90686, 0.651638, -2.71324, 0.0586556, 740.121, 0.00165145, 7.949, 1.30601, 46.9536, 9.2921, -21.2528, 1.28597, -30.1742, 3.02389, -0.0433341, 0.0347989, nan, nan, nan, nan, 16.5267
216, 1, 211, 14.82, 9.61319e-05, 0.423541, 0.0284361, 10.3075, 1.02485, -3.22873, 0.104471, 743.257, 0.00331885, 7.8865, 1.19271, 81.2901, 14.7127, -21.313, 1.74649, -53.5612, 7.42793, -0.147933, 0.0937233, nan, nan, nan, nan, 12.2033
217, 2, 211, 11.9485, 0.000146353, 0.841081, 0.0232299, 38.0971, 1.65272, -1.03245, 0.0763872, 756.386, 0.00451595, 8.514, 1.80794, 324.359, 70.2998, -20.9194, 1.39595, -176.129, 16.7238, -0.927137, 0.237668, nan, nan, nan, nan, 14.9858
218, 1, 212, 11.8825, 2.7359e-05, 0.679138, 0.0562952, 1.85949, 0.223908, -4.90861, 0.487236, 754.811, 0.00492831, 7.5725, inf, 14.081, inf, 8.31317, 4.56787, -4.17043, 4.03907, 1.08066, 0.463702, 8.60186, 1.84549, 11.1627, inf, 1.81992
219, 2, 212, 13.228, 0.000183204, 0.747883, 0.0333199, 29.5602, 2.0764, -4.09803, 0.14861, 750.387, 0.00667664, 9.569, 1.99137, 282.862, 62.128, -20.4327, 1.5556, -137.498, 13.6025, -0.728893, 0.227078, nan, nan, nan, nan, 13.135
220, 0, 213, 11.9402, 5.327e-05, 0.791969, 0.0361914, 8.39064, 0.573804, -3.18752, 0.220415, 755.433, 0.00474616, 9.2835, 1.93748, 77.8945, 17.1072, -30.2758, 3.39564, -63.925, 13.4336, -0.246558, 0.232982, nan, nan, nan, nan, 8.91608
221, 2, 213, 14.1168, 3.68415e-05, 1.1593, 0.0427021, 7.20006, 0.39364, -4.00201, 0.24089, 746.267, 0.00510381, 6.306, 0.837752, 45.4036, 6.52267, -27.2035, 1.4714, -30.0914, 2.31825, -0.895329, 0.223719, nan, nan, nan, nan, 18.4882
222, 0, 214, 9.74714, 1.9066e-05, 0.888472, 0.0579257, 2.21931, 0.214951, -10.3304, 0.747553, 766.788, 0.00584551, 8.9305, inf, 19.8195, inf, -27.667, 4.3048, -13.5945, 3.8811, -0.408343, 0.403736, nan, nan, nan, nan, 6.42702
223, 1, 214, 13.3937, 3.55287e-05, 1.23695, 0.038141, 8.2953, 0.37534, -3.74633, 0.125697, 751.071, 0.00390702, 8.4775, 1.81076, 70.3234, 15.3542, -23.2832, 2.60647, -43.3645, 8.08948, -2.12385, 0.760814, nan, nan, nan, nan, 8.93285
224, 2, 214, 11.475, 4.46693e-05, 0.897733, 0.032306, 8.93635, 0.47327, -4.20691, 0.110506, 757.531, 0.00345759, 9.3495, 1.37164, 83.5504, 13.0317, -25.5128, 2.45548, -54.7556, 8.30282, -0.547254, 0.278404, nan, nan, nan, nan, 10.3902
225, 3, 214, 9.51542, 3.76794e-05, 0.95043, 0.0503227, 5.12516, 0.391903, -9.15941, 0.115582, 768.873, 0.00378388, 9.285, 1.18837, 47.5871, 7.09479, -24.3146, 1.85482, -25.0556, 2.74169, -0.731577, 0.258348, nan, nan, nan, nan, 13.1088
227, 1, 215, 11.4474, 0.000120513, 1.05111, 0.0293799, 31.0169, 1.33434, -0.358118, 0.0870786, 757.506, 0.0049458, 10.0575, 2.57491, 311.952, 80.9854, -22.3795, 1.44995, -198.148, 22.3519, -1.41338, 0.323733, nan, nan, nan, nan, 15.4347
228, 0, 216, 14.6816, 0.00010924, 1.22622, 0.0341892, 28.1911, 1.20026, -3.24995, 0.0966048, 745.586, 0.00541854, 4.05, 1.17978, 114.174, 33.6126, -17.7363, 2.13361, -82.8499, 16.1351, 18.9108, 9.17738, 36.0132, 8.73859, 29.0735, 160.874, 8.31282
229, 0, 217, 15.862, 6.07721e-05, 0.761745, 0.0153803, 21.6644, 0.655851, -3.75799, 0.0380788, 742.386, 0.00206884, 5.585, 0.684817, 120.996, 15.2816, -19.1111, 1.07056, -73.4914, 5.9165, -1.11482, 0.212805, nan, nan, nan, nan, 17.8516
230, 1, 218, 12.1211, 2.43437e-05, 0.934715, 0.0601662, 2.23975, 0.208107, 7.14611, 0.902174, 757.866, 0.0070233, 10.743, 1.58379, 24.0616, 4.19305, 1.90156, 10.4011, -3991.54, 1.90161e+10, 0.948166, 0.159641, 8.03984, 0.676827, 23.8903, 6.35434e+12, 0.182822
231, 2, 218, 16.0249, 2.79587e-05, 0.599706, 0.0310323, 3.89382, 0.291645, -1.54721, 0.107813, 742.125, 0.00244367, 8.015, 0.875617, 31.209, 4.13385, -17.6333, 0.815094, -18.2105, 1.56489, -0.695748, 0.126838, nan, nan, nan, nan, 21.6335
232, 0, 219, 14.0235, 2.99047e-05, 1.09416, 0.0361703, 6.51123, 0.322765, -0.368272, 0.298782, 750.008, 0.00484129, 6.45, 1.3763, 41.9974, 9.20003, -17.8687, 4.41144, -17.2915, 5.23322, -17.093, 12.5922, nan, nan, nan, nan, 4.05054
233, 1, 219, 13.9466, 5.41296e-05, 1.68956, 0.144943, 4.54507, 0.57095, -5.24944, 0.793381, 750.334, 0.0143139, 5.557, 1.9648, 25.257, 9.47702, -6.27767, 4.73756, -9.59487, 5.95997, 1.84669, 0.293645, 11.2499, 0.894432, 24.1586, 10.9808, 1.32508
234, 2, 220, 14.1175, 1.65281e-05, 1.50397, 0.0764816, 1.71067, 0.130043, -5.00378, 1.79617, 747.992, 0.00946856, 6.758, inf, 11.5607, inf, -6.70747, 3122.89, 2.60519, 963.042, 1.68903, 172.319, 10.7373, 547.722, 10.909, inf, 0.00214784
235, 1, 221, 14.0416, 4.65334e-05, 1.47057, 0.033084, 14.8908, 0.493012, -4.61499, 0.0678922, 747.725, 0.0035413, 6.499, 0.704406, 96.7753, 10.9676, -22.9973, 1.02945, -60.9212, 4.5458, -4.66657, 0.642557, nan, nan, nan, nan, 22.3395
236, 0, 223, 10.9434, 2.68417e-05, 1.02587, 0.0472942, 4.1889, 0.280755, -4.71583, 0.203536, 758.364, 0.00414187, 10.7115, 1.59214, 44.8694, 7.31598, -29.3953, 1.39559, -27.9015, 2.24472, -0.487244, 0.14407, nan, nan, nan, nan, 21.063
237, 1, 223, 14.4827, 1.2745e-05, 2.06636, 0.0839033, 2.18727, 0.133676, -17.1529, 2.06122, 745.877, 0.011143, 8.287, 1.81463, 18.1259, 4.12078, -18.8855, 4.5245, -5.82562, 1.45297, 5.52187, 1.76079, 19.5131, 3.11112, 11.0882, 6.90712, 4.17405
238, 0, 224, 10.9239, 0.000106114, 0.723046, 0.0226666, 24.361, 1.15364, -5.82124, 0.0595144, 758.216, 0.00331849, 10.608, 2.51604, 258.421, 62.503, -24.0487, 2.21647, -152.718, 23.6168, -0.373758, 0.202267, nan, nan, nan, nan, 10.85
239, 1, 224, 10.2267, 0.000139769, 0.972481, 0.0880535, 11.1172, 1.63786, -7.8845, 0.843891, 762.698, 0.0212883, 8.131, 0.936493, 90.394, 16.904, -21.8317, 1.434, -51.6911, 4.82864, -1.20247, 0.315848, nan, nan, nan, nan, 15.2244
240, 2, 224, 12.3636, 0.000112585, 1.20015, 0.0664727, 14.634, 1.19199, -2.95409, 0.135228, 755.422, 0.0070388, 7.074, 0.556556, 103.521, 11.7233, -9.7151, 3.15022, -69.4085, 39.8584, 1.68436, 0.340222, 10.7329, 1.08397, 87.3834, 64.8241, 3.08394
241, 3, 224, 10.2267, 0.000118422, 0.972681, 0.047764, 17.3605, 1.2631, -8.33069, 0.105841, 762.815, 0.00567092, 6.1195, 1.54073, 106.238, 27.8424, -21.6328, 3.12048, -94.4321, 21.543, -1.25412, 0.647311, nan, nan, nan, nan, 6.93253
242, 4, 224, 14.7122, 0.000112275, 0.752937, 0.0200775, 30.2916, 1.24072, -2.20131, 0.0588114, 745.543, 0.00333779, 5.515, 1.05567, 167.058, 32.7019, -24.3277, 4.46723, -288.26, 167.612, -0.41018, 0.427201, nan, nan, nan, nan, 5.44582
243, 0, 225, 10.4461, 5.52486e-05, 0.799377, 0.0509755, 6.23746, 0.58153, -5.64316, 0.191488, 760.951, 0.00493082, 7.709, 1.58934, 48.0846, 10.88, 4.66811, 3.31657, -58764.7, 2.42863e+11, 0.887918, 0.140657, 7.78997, 0.617011, 45.6242, 6.25623e+14, 1.40751
244, 2, 225, 12.6313, 2.57142e-05, 1.08591, 0.0979395, 2.19833, 0.291583, 10.5394, 0.808718, 753.768, 0.00828474, 8.736, 5.28838, 19.2046, 11.9014, -7.5779, 855.938, -2.51651, 261.342, 1.34331, 58.1476, 9.62708, 208.363, 17.2669, 77.3184, 0.00885332
245, 0, 226, 9.50678, 9.13046e-05, 0.825068, 0.0197629, 27.4286, 1.00102, -10.7943, 0.0550695, 769.415, 0.00322175, 6.244, 1.34724, 171.264, 37.4778, -17.1813, 1.69372, -114.615, 16.1241, -2.50973, 0.682441, nan, nan, nan, nan, 10.1441
246, 1, 226, 11.6911, 0.000107597, 0.828354, 0.0378765, 16.9396, 1.14911, -2.61341, 0.0895404, 755.353, 0.00450855, 7.833, 1.46966, 132.688, 26.4726, -26.4868, 2.90217, -145.381, 35.1823, -0.396665, 0.268592, nan, nan, nan, nan, 9.12655
247, 2, 226, 13.5649, 5.22225e-05, 0.907273, 0.0314053, 10.8608, 0.556021, -0.929738, 0.105033, 750.122, 0.00358967, 7.249, 1.20358, 78.7299, 13.6791, -0.00601988, 2.3007, -0.45959, 137.24, 0.907273, 0.0314055, 7.91412, 0.136974, 78.7299, 13.7726, 0.00261654
248, 0, 227, 11.4605, 0.000133448, 0.564644, 0.0401188, 13.5219, 1.40864, -1.96176, 0.078451, 755.169, 0.00406316, 9.421, 2.09088, 127.39, 31.2323, -21.7763, 1.76971, -84.7665, 12.3183, -0.271105, 0.136153, nan, nan, nan, nan, 12.305
249, 1, 227, 14.7618, 3.22152e-05, 0.751694, 0.0193131, 9.02613, 0.344255, -1.76772, 0.0872826, 745.973, 0.00231173, 6.014, 2.05162, 54.2831, 18.6336, -18.5469, 2.19417, -26.2492, 4.41984, -1.14023, 0.449841, nan, nan, nan, nan, 8.45284
250, 2, 228, 14.2529, 1.97758e-05, 2.55781, 0.0563591, 6.46084, 0.211566, -1.54171, 0.367962, 747.437, 0.00683582, 6.492, 1.18645, 41.9438, 7.78756, -31.4975, 6.95188, -64.4043, 39.1917, -6.35176, 3.94822, nan, nan, nan, nan, 4.53079
251, 0, 229, 9.81667, 2.66655e-05, 0.880183, 0.056273, 2.81112, 0.25745, -7.00243, 0.315512, 764.727, 0.00478234, 6.505, 0.306217, 18.2863, 1.88299, -16.9706, 1.91904, -18.0647, 4.65481, -4.04548, 1.62915, nan, nan, nan, nan, 8.84329
252, 1, 229, 12.6391, 5.81301e-05, 0.867373, 0.0373711, 9.71243, 0.620522, -4.67826, 0.151856, 753.646, 0.00442203, 6.2685, 1.25904, 60.8824, 12.8321, -21.7566, 4.13803, -48.588, 17.1488, -0.866295, 0.660527, nan, nan, nan, nan, 5.25772
253, 2, 229, 13.3213, 2.45827e-05, 1.03732, 0.0926454, 2.32522, 0.306229, -1.37838, 0.544745, 751.182, 0.00690552, 8.987, inf, 20.8968, inf, -15.7775, 5.24596, -5.9025, 2.50582, 8.44091, 7.86581, 24.0281, 11.1955, 7.32557, inf, 3.00755
254, 3, 229, 11.7508, 3.60743e-05, 0.924053, 0.0433756, 5.53255, 0.381084, 1.33094, 0.21447, 754.541, 0.00444153, 4.6125, 1.45668, 25.5189, 8.2486, -18.4593, 3.15339, -14.9582, 3.36869, -2.61073, 1.25634, nan, nan, nan, nan, 5.8538
255, 0, 230, 10.0822, 5.93458e-05, 0.642919, 0.0773876, 3.53366, 0.615108, -9.84211, 0.306453, 761.407, 0.00620437, 7.413, 1.22061, 26.195, 6.27659, -15.189, 1.82155, -28.5111, 9.53963, -1.93, 0.931231, nan, nan, nan, nan, 8.33847
256, 1, 230, 12.5291, 2.90007e-05, 1.36119, 0.108611, 2.19446, 0.251749, 5.44805, 1.03044, 753.309, 0.0104886, 9.521, 2.72069, 20.8935, 6.43361, -0.104745, 27.5753, -117.974, 1.03693e+08, 1.36123, 0.110673, 9.62211, 0.391158, 20.8932, 1.17101e+09, 0.00379849
257, 2, 230, 16.3871, 4.58831e-05, 0.583459, 0.0512072, 3.78589, 0.490182, -1.38159, 0.422614, 745.604, 0.00550998, 5.9035, 0.308419, 22.35, 3.12048, -13.2093, 2.60215, -9.29509, 2.36612, -6.63172, 7.2004, nan, nan, nan, nan, 5.0763
258, 3, 230, 13.3387, 2.19595e-05, 1.44635, 0.0603521, 3.81548, 0.2334, -4.76952, 0.380159, 750.888, 0.00587276, 8.9295, 0.805648, 34.0703, 3.71386, -32.8703, 4.22043, -31.6019, 8.32524, -0.832754, 0.585599, nan, nan, nan, nan, 7.78838
259, 4, 230, 12.61, 4.07244e-05, 2.26759, 0.0795314, 8.35778, 0.438568, -0.998908, 0.483412, 753.426, 0.0103976, 9.631, 1.49548, 80.4938, 13.1933, -24.0222, 3.55674, -97.0412, 42.7154, 35.1033, 21.3962, 48.8624, 14.8913, 20.4584, 408.539, 6.75399
260, 0, 231, 9.87239, 0.000111445, 0.710898, 0.039454, 14.4566, 1.17935, -8.5683, 0.0797743, 764.562, 0.00425237, 9.997, 2.08704, 144.523, 32.3932, -22.7842, 1.62128, -88.8186, 10.721, -0.406372, 0.159528, nan, nan, nan, nan, 14.0532
261, 1, 231, 13.5216, 9.16364e-06, 1.19444, 0.0330637, 2.49962, 0.105882, 0.52008, 0.849542, 750.844, 0.00468765, 5.317, 0.795637, 13.2905, 2.06694, -13.6289, 8.15275, -5.60784, 4.15252, 2.81065, 1.94227, 13.785, 4.76298, 8.66403, 6.2409, 1.67169
262, 2, 231, 13.5098, 7.16326e-05, 1.06966, 0.0654424, 8.42953, 0.753119, -1.67332, 0.17252, 750.782, 0.00619362, 7.0355, 1.24245, 59.306, 11.7373, -17.9771, 2.03964, -23.0385, 3.61836, -9.13595, 5.30597, nan, nan, nan, nan, 8.81386
263, 3, 231, 12.0682, 3.37321e-05, 1.71736, 0.0378531, 11.0177, 0.357191, -0.674033, 0.102872, 754.539, 0.00401286, 7.2265, 1.07421, 79.6194, 12.1135, -14.1141, 1.69752, -37.1855, 5.9076, 3.0185, 0.334111, 14.2502, 0.788663, 60.0557, 17.6474, 8.31455
264, 4, 231, 12.5973, 7.54165e-06, 6.97169, 0.21625, 2.14371, 0.101595, 6.28368, 4.64213, 753.963, 0.0253311, 6.294, 0.369276, 13.4925, 1.01762, -7.74422, 22.5672, -3.30201, 8.40233, 7.20167, 1.36007, 22.0226, 2.07953, 13.2753, 4.30593, 0.343162
265, 0, 233, 15.4491, 5.97568e-05, 0.748631, 0.0160103, 20.1131, 0.642169, -0.16529, 0.0381906, 746.621, 0.00204522, 5.8305, 0.97144, 117.269, 19.8942, -17.929, 0.905685, -101.036, 8.82628, -1.32203, 0.215075, nan, nan, nan, nan, 19.7961
266, 1, 233, 10.8412, 0.000432286, 0.873608, 0.200748, 6.05642, 3.51273, 7.34846, 3.10817, 756.882, 0.0642675, 10.6425, 1.09953, 64.4554, 37.9727, -24.2907, 3.25848, -25.6831, 4.40288, -0.583177, 0.400949, nan, nan, nan, nan, 7.45461
267, 2, 233, 13.5028, 3.64402e-05, 1.16065, 0.0992917, 2.92253, 0.368666, 8.78015, 1.59141, 750.69, 0.012718, 6.834, 0.507689, 19.9726, 2.9239, -28.8661, 7.77427, -14.0205, 5.40036, -0.710802, 1.00873, nan, nan, nan, nan, 3.71302
268, 3, 233, 10.7022, 2.78427e-05, 1.20148, 0.146775, 1.28689, 0.218307, 0.759323, 2.10442, 757.983, 0.0109419, 8.673, 0.32676, 11.1612, 1.93951, -22.0628, 1.94173, -4.60316, 0.583523, -2.4019, 0.863926, nan, nan, nan, nan, 11.3624
269, 4, 233, 9.88227, 2.31853e-05, 0.954827, 0.0667145, 2.04451, 0.208771, -4.54614, 0.911923, 763.621, 0.00707224, 7.938, 1.09487, 16.2293, 2.78517, -17.8903, 2.15967, -7.12034, 1.1299, -3.80857, 1.56501, nan, nan, nan, nan, 8.28381
270, 5, 233, 15.1901, 5.9233e-05, 1.34882, 0.0168288, 34.1449, 0.661531, -2.39529, 0.0523492, 746.846, 0.00302796, 6.0895, 1.23539, 207.925, 42.3743, -0.0340402, 2.478, -3.95081, 206.417, 1.34882, 0.0168402, 9.61401, 0.0600158, 207.925, 43.0943, 0.0137369
271, 6, 233, 11.4784, 2.52432e-05, 1.82616, 0.0779821, 4.25415, 0.268883, 1.19617, 0.684453, 754.764, 0.00901209, 8.076, 0.76486, 34.3565, 3.91188, -22.3927, 5.30231, -15.8735, 4.5975, -144.457, 492.864, nan, nan, nan, nan, 4.22319
272, 7, 233, 10.8407, 8.94469e-05, 1.52766, 0.0851916, 11.5442, 0.969058, -5.53319, 0.435496, 757.205, 0.0118582, 7.702, 2.04235, 88.9134, 24.7305, -25.8252, 3.21998, -68.1266, 14.1737, -2.4847, 1.02562, nan, nan, nan, nan, 8.0203
273, 8, 233, 11.5094, 1.06928e-05, 5.35481, 0.576416, 1.05993, 0.125437, -1.23827, 3.38975, 754.54, 0.0176428, 8.1825, inf, 8.67288, inf, -17.1669, 5.77891, -3.25522, 1.39351, 6.71722, 1.28999, 21.3464, 2.04971, 7.74356, inf, 2.97061
274, 0, 235, 10.749, 2.66159e-05, 1.67302, 0.0453079, 7.07532, 0.282629, -3.1491, 0.212317, 759.414, 0.00499755, 7.049, 1.76322, 49.8739, 12.6334, -21.4874, 4.14377, -42.2613, 13.2797, -96.9063, 156.694, nan, nan, nan, nan, 5.18548
275, 1, 235, 16.0246, 3.92465e-05, 1.08287, 0.0182419, 16.7693, 0.422749, -1.97069, 0.0555334, 744.789, 0.00239205, 5.7135, 0.474701, 95.8114, 8.31877, -14.2093, 0.936511, -54.1073, 5.54487, 3.32216, 0.34148, 15.1572, 0.778992, 54.701, 18.2383, 15.1726
276, 0, 236, 10.1784, 6.34906e-05, 0.535247, 0.0399008, 6.13144, 0.673471, -5.49702, 0.207695, 762.727, 0.00434979, 8.674, 1.38212, 53.1841, 10.2928, -16.346, 1.41359, -56.9162, 13.0805, -0.628916, 0.208751, nan, nan, nan, nan, 11.5635
277, 1, 236, 9.81172, 0.000306911, 0.387564, 0.0122263, 69.608, 3.77853, -8.92866, 0.0545857, 765.583, 0.00470719, 6.967, 1.38584, 484.959, 99.9929, -15.6973, 0.951195, -221.371, 18.0252, -0.283745, 0.0816208, nan, nan, nan, nan, 16.5027
278, 1, 237, 15.6337, 1.51851e-05, 2.3568, 0.0982211, 2.80937, 0.176599, 1.5661, 1.45182, 746.248, 0.0116123, 8.855, 1.74402, 24.877, 5.14309, -23.9067, 1.54204, -10.5338, 0.827851, 20.024, 7.44752, 37.0932, 6.89805, 8.53463, 15.1299, 15.5033
279, 0, 238, 13.0883, 4.15507e-05, 0.915446, 0.0976356, 0.781919, 0.135766, -2.55929, 1.21569, 751.819, 0.00620781, 10.57, inf, 8.26488, inf, -24.5949, 2.43701, -3.78292, 0.776977, -0.652437, 0.314643, nan, nan, nan, nan, 10.0923
280, 1, 238, 14.3831, 0.000191719, 0.692102, 0.0192869, 49.3936, 2.23317, -3.60984, 0.0722886, 748.018, 0.00459068, 6.379, 1.83135, 315.082, 91.5716, -22.5698, 1.63819, -486.527, 112.316, -0.416271, 0.16105, nan, nan, nan, nan, 13.7773
281, 2, 238, 13.2826, 1.3824e-05, 1.78741, 0.0792951, 2.50441, 0.167191, -1.19183, 1.07658, 751.337, 0.00852852, 8.906, 3.04855, 22.3043, 7.77865, -23.1389, 3.33856, -7.59064, 1.23011, -20.1864, 11.9372, nan, nan, nan, nan, 6.93079
282, 3, 238, 11.7044, 1.32188e-05, 3.78533, 0.393809, 1.23876, 0.159969, 2.40886, 3.54581, 755.032, 0.0185668, 9.233, 2.62766, 11.4375, 3.57446, -3.9515, 35.3182, -5182, 4.10212e+10, 3.84321, 1.11146, 16.2221, 2.34571, 11.351, 3.74541e+13, 0.111883
283, 0, 239, 9.38178, 3.32598e-05, 0.592408, 0.0415976, 3.45962, 0.355581, -9.32352, 0.248524, 767.646, 0.00382774, 8.068, 1.33231, 27.9122, 5.42915, -22.3508, 1.85336, -15.3185, 1.99477, -0.274491, 0.144047, nan, nan, nan, nan, 12.0596
284, 1, 239, 14.8146, 1.71165e-05, 1.5873, 0.0858371, 2.50304, 0.203304, -1.38037, 1.17415, 746.911, 0.00929443, 7.434, 0.75428, 18.6076, 2.41842, -3.0988, 5.66011, -2.65539, 3.45972, 1.62308, 0.158552, 10.5526, 0.515421, 18.4014, 2.64152, 0.54748
