118 	131.6 	1105:26 	2.37 	13.4
118 	131.6 	1105:26 	2.08 	9.9
120 	132.6 	1142:12 	1.48 	2.4
121 	133.1 	1055:10 	1.39 	4.4
121 	133.1 	1303:44 	0.65 	5.8
121 	133.1 	1333:00 	0.60 	9
122 	133.6 	1125:49 	0.78 	2.8
122 	133.6 	1255:04 	1.63 	4.0
122 	133.6 	1307:55 	0.62 	3.2
122 	133.7 	1527:26 	0.74 	13.0
123 	134.1 	1018:23 	0.66 	6.5
123 	134.1 	1302:15 	0.69 	11.1
123 	134.2 	1443:30 	0.83 	8.8
124 	134.6 	1359:47 	0.54 	9.3
125 	135.1 	1407:12 	2.00 	4.36
125 	135.1 	1415:56 	0.51 	4.2
126 	135.6 	1321:01 	1.13 	7.3
126 	135.6 	1434:32 	0.52 	11.6
126 	135.6 	1439:08 	0.63 	3.8
127 	136.1 	1225:20 	1.07 	20.8
128 	136.5 	0924:04 	1.23 	29
128 	136.5 	1046:47 	0.67 	20
128 	136.6 	1319:18 	0.53 	15
128 	136.6 	1327:37 	0.57 	3.8
128 	136.6 	1357:45 	0.57 	2.4
129 	137.0 	0958:50 	2.16 	6.9
129 	137.1 	1311:48 	1.58 	3.0
129 	137.1 	1425:13 	0.52 	4.9
130 	137.5 	1010:44 	0.94 	8.8
130 	137.6 	1155:13 	0.56 	12.4
131 	138.0 	1003:36 	0.85 	6.0
131 	138.0 	1101:37 	0.59 	1.6
131 	138.1 	1353:35 	1.61 	5.2
131 	138.1 	1409:27 	1.02 	3.4
132 	138.5 	0942:13 	0.58 	4.3
132 	138.6 	1401:44 	1.61 	5.6
133 	139.1 	1550:31 	0.67 	1.8
136 	140.5 	1041:43 	2.19 	14.2
136 	140.6 	1208:29 	2.51 	8.6
136 	140.6 	1444:46 	0.56 	6.2
136 	140.6 	1626:38 	0.95 	6.6
137 	141.1 	1221:09 	0.57 	5.8
138 	141.6 	1344:01 	0.80 	11.4
139 	142.0 	1016:30 	0.55 	6.5
139 	142.1 	1236:28 	0.80 	2.6
139 	142.1 	1307:27 	0.88 	7.4
139 	142.1 	1326:29 	0.62 	7.2
139 	142.1 	1501:11 	1.13 	4.7
140 	142.6 	1226:43 	0.53 	16
140 	142.6 	1319:51 	1.27 	4.5
140 	142.6 	1541:41 	0.80 	24
141 	143.1 	1226:32 	0.57 	6.4
141 	143.1 	1455:01 	0.65 	4.5
142 	143.6 	1417:55 	0.89 	14
144 	144.5 	0950:40 	0.67 	3.2
144 	144.6 	1200:38 	1.01 	3.0
144 	144.6 	1246:58 	0.56 	3.9
144 	144.6 	1320:17 	0.86 	3.4
144 	144.6 	1446:09 	0.79 	12.1
144 	144.6 	1604:57 	0.56 	4.5
145 	145.0 	0931:39 	0.84 	2.5
145 	145.0 	1019:32 	0.51 	3.1
145 	145.1 	1224:25 	1.02 	3.2
146 	145.6 	1420:42 	0.61 	5.9
146 	145.6 	1455:07 	0.51 	23
146 	145.7 	1559:11 	0.55 	6.8
147 	146.1 	1357:36 	0.57 	3.2
148 	146.5 	0903:27 	0.57 	2.0
148 	146.5 	0955:08 	0.95 	0.65
148 	146.5 	1028:33 	1.06 	7.9
148 	146.6 	1148:47 	0.85 	1.9
150 	147.5 	0931:53 	0.70 	14
150 	147.6 	1009:35 	0.59 	2.5
150 	147.6 	1021:35 	1.03 	6.1
