# U, Delta_P
9.809, 0.701596
10.679, 4.52364
9.9, 1.05415
8.3655, 2.29124
7.683, 1.45785
9.027, 1.26346
7.9385, 1.55546
9.762, 1.99824
9.0015, 1.46909
7.346, 0.593859
10.117, 1.68354
6.601, 0.538978
8.249, 3.15318
8.051, 0.663966
9.658, 1.22304
7.63, 3.07836
7.752, 0.894095
8.3425, 2.21046
7.921, 0.644536
7.4585, 1.25456
7.2915, 1.17661
7.827, 2.23764
8.934, 0.349452
8.311, 2.14308
9.15, 0.930912
6.418, 0.796747
8.311, 2.14496
9.448, 0.890919
9.841, 1.27122
9.151, 0.914097
11.291, 2.07425
9.151, 2.3281
8.404, 1.96696
7.248, 1.78843
7.34, 0.880679
8.414, 0.421004
7.5575, 0.828356
7.5575, 0.999563
7.34, 0.639258
7.5575, 1.22034
7.8, 1.2688
9.9175, 2.04274
9.032, 0.891046
10.31, 0.315173
9.832, 0.995048
9.832, 2.18179
8.115, 0.886816
10.099, 0.869212
8.786, 0.497717
9.52, 1.86677
9.52, 2.0206
9.1595, 1.39117
9.1595, 2.22594
7.981, 0.244181
7.903, 0.423541
10.386, 0.841081
7.903, 3.89732
10.3645, 1.03464
9.8755, 0.679138
8.149, 0.747883
10.3645, 0.922026
10.5075, 0.791969
10.5075, 0.826103
8.288, 1.1593
9.8795, 0.888472
8.248, 1.23695
10.533, 0.897733
9.8795, 0.95043
9.314, 0.881721
9.314, 1.05111
9.314, 1.44067
8.318, 1.22622
8.034, 3.6339
7.766, 0.761745
9.484, 0.934715
6.1965, 0.599706
8.494, 1.09416
8.664, 1.68956
9.652, 1.00536
9.6905, 1.66132
6.6645, 1.50397
8.686, 1.7208
7.88, 1.47057
10.0895, 1.02587
8.957, 2.06636
9.825, 0.723046
9.825, 0.972481
7.965, 1.20015
9.825, 0.972681
6.0595, 0.752937
10.36, 0.799377
9.457, 1.08591
8.222, 0.825068
10.45, 0.828354
8.31, 0.907273
9.743, 0.564644
8.216, 0.751694
9.9445, 0.764077
7.805, 2.55781
7.964, 0.880183
8.49, 0.867373
7.174, 1.03732
9.693, 0.924053
10.068, 0.642919
10.139, 1.36119
5.907, 0.583459
9.9785, 1.44635
10.139, 2.26759
7.652, 0.710898
8.2065, 1.19444
8.2065, 1.06966
9.336, 1.71736
9.336, 6.97169
7.489, 0.748631
9.497, 0.873608
8.45, 1.16065
9.497, 1.20148
7.344, 0.954827
7.489, 1.34882
11.139, 1.82616
9.497, 1.52766
11.139, 5.35481
8.493, 1.67302
5.773, 1.08287
9.9055, 0.535247
6.918, 0.387564
9.04, 2.3568
8.774, 0.915446
8.429, 0.692102
8.774, 1.78741
10.624, 3.78533
7.624, 0.592408
7.482, 1.5873
10.2785, 3.87055
7.549, 0.614062
8.602, 0.321905
8.775, 0.851924
8.926, 3.17754
8.793, 1.33853
8.8325, 0.996314
8.793, 1.41729
7.289, 0.783824
9.334, 1.26577
7.73, 0.94744
6.8945, 0.675198
7.699, 0.753995
8.426, 1.52283
8.849, 2.26016
9.435, 1.18901
8.239, 0.667218
